Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,6167.8686308832,3150.0,18.239688088799436,1004.9704726039826
P_aircraft,1,21489.3343212768,7250.0,12.049166696252835,3501.3953378747783
P_aircraft,2,2986.1752972032,2350.0,28.105708163608973,486.5567312316298
P_aircraft,3,0.0,250.0,inf,0.0
P_aircraft,4,14959.031053276802,6250.0,14.921707490231478,2437.371060731647
P_drone,0,6167.8686308832,3900.0,22.582470967085015,1004.9704726039826
P_drone,1,21489.3343212768,8000.0,13.295632216554852,3501.3953378747783
P_drone,2,2986.1752972032,3100.0,37.07561502433524,486.5567312316298
P_drone,3,0.0,1000.0,inf,0.0
P_drone,4,14959.031053276802,7000.0,16.712312389059257,2437.371060731647
P_OGI,0,83363.0919059232,36704.0,15.724670389342918,13582.884280469581
P_OGI,1,67994.4784146336,35704.0,18.753623630539153,11078.77732101289
P_OGI,2,67026.49645302721,35504.0,18.917891686142752,10921.057799465882
P_OGI,3,67948.00102779841,34304.0,18.030594551878504,11071.2044616982
P_OGI,4,47099.0721065184,27304.0,20.70407788368934,7674.15449108212
P_stationary,0,239617.7752008096,256750.0,38.26779064891291,39042.46396917668
P_stationary,1,218999.4458527584,248750.0,40.565986534055305,35682.98706892881
P_stationary,2,244984.8017873376,255150.0,37.19618496134397,39916.948101042646
P_stationary,3,206195.58260930885,249950.0,43.29280773778666,33596.771349207214
P_stationary,4,209232.257383728,246950.0,42.152405023130825,34091.55628478643
P_truck,0,71895.231353232,27300.0,13.561400132502246,11714.352064707335
P_truck,1,70773.9631812864,27700.0,13.978102536828048,11531.656635846584
P_truck,2,77089.755185136,30300.0,14.037440572278658,12560.729214207955
P_truck,3,71314.9337212992,26900.0,13.471432077168924,11619.800442369851
P_truck,4,69094.9657924128,26500.0,13.697504016023368,11258.086801536489
