Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0121923,0.0245690685,2022-01-17,2022-12-31,738.7230964032
ABBT0121923,0.0245690685,2022-01-17,2022-12-31,738.7230964032
ABBT0121923,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0121923,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0121923,0.069827879,2022-01-17,2022-12-31,2099.5288034688
ABBT0121923,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121923,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121923,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0121923,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121923,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0121923,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121923,0.002586218,2022-01-17,2022-12-31,77.7603338496
ABBT0121923,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121923,0.005172435,2022-01-17,2022-12-31,155.52063763200002
ABBT0121923,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0121923,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.031034613,2022-01-17,2022-12-31,933.1239159936
ABBT0059014,0.018103524,2022-01-17,2022-12-31,544.3222768128
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.005172435,2022-01-18,2022-12-31,155.073739248
ABBT6440009,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT6440009,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT6440009,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT6440009,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT6440009,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT6440009,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT7390005,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT7390005,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT7390005,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT7390005,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT7390005,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT7390005,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT7390005,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT7390005,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0044445,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT0044445,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0044445,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT0044445,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0044445,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT0044445,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0044445,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT0044445,0.095690057,2022-01-18,2022-12-31,2868.8644609056005
ABBT0044445,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT0044445,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0044445,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0044445,0.002586218,2022-01-18,2022-12-31,77.5368846144
ABBT0044445,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0044445,0.069827879,2022-01-18,2022-12-31,2093.4956747232
ABBT0044445,0.018103524,2022-01-18,2022-12-31,542.7581323392001
ABBT0044445,0.031034613,2022-01-18,2022-12-31,930.4425254304001
ABBT0044445,0.051724355,2022-01-18,2022-12-31,1550.737542384
ABBT0120550,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0120550,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0120550,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0120550,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0120550,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0120550,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0120550,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0120550,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0120550,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0083677,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0083677,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0083677,0.069827879,2022-01-19,2022-12-31,2087.4625459776
ABBT0083677,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0083677,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0083677,0.005172435,2022-01-19,2022-12-31,154.62684086400003
ABBT0083677,0.018103524,2022-01-19,2022-12-31,541.1939878656001
ABBT0083677,0.095690057,2022-01-19,2022-12-31,2860.5968399808
ABBT0083677,0.051724355,2022-01-19,2022-12-31,1546.268558112
ABBT0083677,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0083677,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0083677,0.031034613,2022-01-19,2022-12-31,927.7611348672
ABBT0141075,0.002586218,2022-01-20,2022-12-31,77.08998614400001
ABBT0141075,0.002586218,2022-01-20,2022-12-31,77.08998614400001
ABBT0141075,0.050431246,2022-01-20,2022-12-31,1503.2545807679999
ABBT0141075,0.050431246,2022-01-20,2022-12-31,1503.2545807679999
ABBT0141075,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0141075,0.069827879,2022-01-20,2022-12-31,2081.429417232
ABBT0141075,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0141075,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0141075,0.002586218,2022-01-20,2022-12-31,77.08998614400001
ABBT0141075,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT0141075,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT7630040,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
ABBT7630040,0.031034613,2022-01-20,2022-12-31,925.0797443040001
ABBT7630040,0.051724355,2022-01-20,2022-12-31,1541.7995738400002
