Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,10079.08642,7158.41901,2920.66741,0.00000,3686,3710,0,14,0,0,2800.00000
2022-01-02,10071.30293,7152.83278,2918.47016,0.00000,3683,8,0,7,0,0,1400.00000
2022-01-03,10084.41195,7161.32385,2923.08811,0.00000,3687,14,0,9,0,0,1800.00000
2022-01-04,10076.66572,7157.97211,2918.69361,0.00000,3688,7,0,3,0,0,600.00000
2022-01-05,10068.36085,7146.79965,2921.56120,0.00000,3689,9,0,7,0,0,1400.00000
2022-01-06,10069.92500,7140.76652,2929.15848,0.00000,3684,8,0,11,0,0,2200.00000
2022-01-07,10075.54847,7138.53203,2937.01644,0.00000,3687,12,0,7,0,0,1400.00000
2022-01-08,10093.72234,7157.97211,2935.75023,0.00000,3696,15,0,4,0,0,800.00000
2022-01-09,10100.72375,7186.35016,2914.37359,0.00000,3693,11,0,7,0,0,1400.00000
2022-01-10,10099.64374,7169.81492,2929.82883,0.00000,3692,9,0,8,0,0,1600.00000
2022-01-11,10115.80657,7164.67558,2951.13098,0.00000,3690,7,0,5,0,0,1000.00000
2022-01-12,10129.21352,7162.21764,2966.99588,0.00000,3692,13,0,6,0,0,1200.00000
2022-01-13,10133.16112,7162.66454,2970.49658,0.00000,3690,9,0,8,0,0,1600.00000
2022-01-14,10115.91829,7151.04518,2964.87311,0.00000,3690,13,0,9,0,0,1800.00000
2022-01-15,10124.67005,7161.77074,2962.89931,0.00000,3688,9,0,8,0,0,1600.00000
2022-01-16,10121.02038,7154.84382,2966.17656,0.00000,3684,7,0,9,0,0,1800.00000
2022-01-17,10088.43404,7140.76652,2947.66752,0.00000,3678,5,0,6,0,0,1200.00000
2022-01-18,10099.15960,7151.49208,2947.66752,0.00000,3684,14,0,6,0,0,1200.00000
2022-01-19,10119.53072,7166.68663,2952.84409,0.00000,3691,13,0,3,0,0,600.00000
2022-01-20,10103.70307,7163.55834,2940.14473,0.00000,3689,11,0,5,0,0,1000.00000
2022-01-21,10086.05058,7165.34593,2920.70465,0.00000,3683,7,0,7,0,0,1400.00000
2022-01-22,10084.37471,7156.63141,2927.74330,0.00000,3684,12,0,7,0,0,1400.00000
2022-01-23,10102.95824,7159.98315,2942.97509,0.00000,3688,11,0,5,0,0,1000.00000
2022-01-24,10092.64233,7146.79965,2945.84269,0.00000,3690,14,0,9,0,0,1800.00000
2022-01-25,10081.32091,7138.75548,2942.56543,0.00000,3686,10,0,11,0,0,2200.00000
2022-01-26,10074.43122,7150.37484,2924.05639,0.00000,3683,9,0,8,0,0,1600.00000
2022-01-27,10067.28085,7150.82173,2916.45911,0.00000,3681,9,0,9,0,0,1800.00000
2022-01-28,10078.63952,7161.10040,2917.53912,0.00000,3681,7,0,5,0,0,1000.00000
2022-01-29,10092.49337,7167.80387,2924.68949,0.00000,3680,8,0,6,0,0,1200.00000
2022-01-30,10072.60639,7156.18451,2916.42187,0.00000,3676,10,0,10,0,0,2000.00000
2022-01-31,10066.34981,7158.19556,2908.15425,0.00000,3679,11,0,7,0,0,1400.00000
2022-02-01,10062.10427,7144.11826,2917.98602,0.00000,3681,14,0,10,0,0,2000.00000
2022-02-02,10080.24090,7156.40796,2923.83294,0.00000,3683,10,0,5,0,0,1000.00000
2022-02-03,10083.40643,7161.32385,2922.08259,0.00000,3681,8,0,6,0,0,1200.00000
2022-02-04,10067.72775,7151.71553,2916.01222,0.00000,3681,9,0,7,0,0,1400.00000
2022-02-05,10048.32491,7141.88377,2906.44114,0.00000,3679,7,0,7,0,0,1400.00000
2022-02-06,10055.95942,7151.93898,2904.02044,0.00000,3681,12,0,5,0,0,1000.00000
2022-02-07,10047.95249,7164.22869,2883.72380,0.00000,3679,11,0,6,0,0,1200.00000
2022-02-08,10050.59664,7164.89903,2885.69761,0.00000,3677,4,0,3,0,0,600.00000
2022-02-09,10076.47951,7180.98738,2895.49213,0.00000,3677,9,0,5,0,0,1000.00000
2022-02-10,10069.10568,7182.10462,2887.00106,0.00000,3675,15,0,12,0,0,2400.00000
2022-02-11,10063.78014,7179.42323,2884.35691,0.00000,3674,5,0,3,0,0,600.00000
2022-02-12,10066.23809,7173.39010,2892.84798,0.00000,3675,12,0,9,0,0,1800.00000
2022-02-13,10068.88223,7174.50735,2894.37488,0.00000,3673,6,0,7,0,0,1400.00000
2022-02-14,10060.20496,7168.25077,2891.95418,0.00000,3671,9,0,7,0,0,1400.00000
2022-02-15,10059.60909,7161.32385,2898.28525,0.00000,3669,9,0,8,0,0,1600.00000
2022-02-16,10072.27121,7159.75970,2912.51151,0.00000,3672,13,0,10,0,0,2000.00000
2022-02-17,10084.85885,7168.92112,2915.93773,0.00000,3673,13,0,7,0,0,1400.00000
2022-02-18,10094.61614,7175.17770,2919.43844,0.00000,3677,12,0,6,0,0,1200.00000
2022-02-19,10102.02720,7174.73080,2927.29640,0.00000,3676,8,0,7,0,0,1400.00000
2022-02-20,10106.04929,7177.41219,2928.63710,0.00000,3679,9,0,5,0,0,1000.00000
2022-02-21,10135.02320,7185.23291,2949.79029,0.00000,3683,15,0,7,0,0,1400.00000
2022-02-22,10140.08805,7186.35016,2953.73789,0.00000,3685,8,0,5,0,0,1000.00000
2022-02-23,10139.86460,7186.35016,2953.51444,0.00000,3685,9,0,6,0,0,1200.00000
2022-02-24,10125.19144,7176.96529,2948.22614,0.00000,3682,9,0,5,0,0,1000.00000
2022-02-25,10164.48126,7196.40537,2968.07588,0.00000,3691,14,0,5,0,0,1000.00000
2022-02-26,10192.33793,7231.93380,2960.40413,0.00000,3696,13,0,3,0,0,600.00000
2022-02-27,10162.69366,7216.29235,2946.40131,0.00000,3691,7,0,7,0,0,1400.00000
2022-02-28,10154.23983,7226.34757,2927.89227,0.00000,3694,12,0,3,0,0,600.00000
2022-03-01,10132.11836,7222.10203,2910.01633,0.00000,3689,7,0,9,0,0,1800.00000
2022-03-02,10130.10732,7238.41383,2891.69349,0.00000,3689,13,0,8,0,0,1600.00000
2022-03-03,10124.89350,7237.74348,2887.15003,0.00000,3686,7,0,9,0,0,1800.00000
2022-03-04,10135.09769,7244.22351,2890.87418,0.00000,3685,12,0,11,0,0,2200.00000
2022-03-05,10139.38046,7241.76556,2897.61490,0.00000,3680,11,0,10,0,0,2000.00000
2022-03-06,10129.51145,7237.52003,2891.99143,0.00000,3676,7,0,9,0,0,1800.00000
2022-03-07,10119.04658,7238.19038,2880.85621,0.00000,3675,11,0,8,0,0,1600.00000
2022-03-08,10112.52931,7230.14620,2882.38311,0.00000,3675,11,0,9,0,0,1800.00000
2022-03-09,10083.25747,7209.14198,2874.11549,0.00000,3671,8,0,11,0,0,2200.00000
2022-03-10,10070.07396,7205.11989,2864.95407,0.00000,3665,9,0,12,0,0,2400.00000
