Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft Deployment Cost ($),aircraft Sites flagged for Follow-Up,aircraft Leaks tagged for repair,aircraft Sites Visited,aircraft Travel Time (Minutes),aircraft Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,513728.11946,94930.03946,418798.08000,250.00000,3679,3700,0,15,0.00000,0.00000,3000.00000,250.00000,0,,100,200,100,0.00000,,0,0,0,0
2022-01-02,515267.67357,95415.51357,419852.16000,0.00000,3677,11,0,9,0.00000,0.00000,1800.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-03,514138.99828,93785.71828,420353.28000,1000.00000,3678,12,0,7,62.00000,0.00000,1400.00000,0.00000,100,,0,0,0,1000.00000,,62,3,120,360
2022-01-04,514822.92953,93968.52953,420854.40000,1000.00000,3682,12,0,8,65.00000,0.00000,1600.00000,0.00000,0,,0,0,0,1000.00000,,65,3,120,360
2022-01-05,515697.95626,93996.83626,421701.12000,1000.00000,3689,11,0,2,77.00000,0.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,77,3,120,360
2022-01-06,514757.99807,94110.95807,420647.04000,1000.00000,3690,9,0,6,87.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,87,3,120,360
2022-01-07,514104.82138,94079.86138,420024.96000,1000.00000,3695,12,0,3,65.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,65,3,120,360
2022-01-08,517046.89816,96451.69816,420595.20000,1000.00000,3699,9,0,3,69.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,69,3,120,360
2022-01-09,518091.71753,96338.75753,421752.96000,1000.00000,3704,13,0,6,92.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,92,3,120,360
2022-01-10,519808.10705,98331.62705,421476.48000,1000.00000,3709,9,0,3,74.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,74,3,120,360
2022-01-11,516347.58969,98344.38969,418003.20000,1000.00000,3709,12,0,6,65.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,65,3,120,360
2022-01-12,513333.20868,98423.12868,414910.08000,1000.00000,3710,13,0,3,82.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,82,3,120,360
2022-01-13,514467.12064,98399.28064,416067.84000,1000.00000,3712,5,0,3,62.00000,0.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,62,3,120,360
2022-01-14,515378.56217,98446.72217,416931.84000,1000.00000,3718,9,0,2,70.00000,0.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,70,3,120,360
2022-01-15,513541.59589,98510.55589,415031.04000,1000.00000,3715,7,0,4,73.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,73,3,120,360
2022-01-16,512704.62653,98053.74653,414650.88000,1000.00000,3715,12,0,7,74.00000,0.00000,1400.00000,0.00000,0,,0,0,0,1000.00000,,74,3,120,360
2022-01-17,513277.24920,98453.56920,414823.68000,1000.00000,3715,8,0,6,58.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,58,3,120,360
2022-01-18,512331.77790,97663.61790,414668.16000,12800.00000,3661,9,59,0,63.00000,11800.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,63,3,120,360
2022-01-19,510799.35506,95871.99506,414927.36000,11800.00000,3611,9,54,2,73.00000,10800.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,73,3,120,360
2022-01-20,509504.25121,93609.21121,415895.04000,14600.00000,3542,6,68,6,79.00000,13600.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,79,3,120,360
2022-01-21,508251.63162,91578.99162,416672.64000,16800.00000,3461,6,79,6,70.00000,15800.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,70,3,120,360
2022-01-22,506745.62112,89761.94112,416983.68000,12000.00000,3408,6,55,3,79.00000,11000.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,79,3,120,360
2022-01-23,504805.73408,88772.45408,416033.28000,13800.00000,3352,15,64,3,68.00000,12800.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
2022-01-24,503836.04928,89634.44928,414201.60000,17400.00000,3270,6,82,2,70.00000,16400.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,70,3,120,360
2022-01-25,499245.31230,85423.87230,413821.44000,14800.00000,3209,12,69,3,67.00000,13800.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,67,3,120,360
2022-01-26,498420.89550,83821.85550,414599.04000,12000.00000,3159,11,55,3,81.00000,11000.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,81,3,120,360
2022-01-27,495854.43752,80944.35752,414910.08000,14400.00000,3098,12,67,1,80.00000,13400.00000,200.00000,0.00000,0,,0,0,0,1000.00000,,80,3,120,360
2022-01-28,494973.91848,81135.19848,413838.72000,11400.00000,3048,9,52,2,87.00000,10400.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,87,3,120,360
2022-01-29,491197.35354,78896.55354,412300.80000,13200.00000,2989,9,61,3,76.00000,12200.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,76,3,120,360
2022-01-30,489961.10238,77729.42238,412231.68000,14000.00000,2925,7,65,2,82.00000,13000.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,82,3,120,360
2022-01-31,489746.72735,76443.68735,413303.04000,14000.00000,2866,10,65,1,68.00000,13000.00000,200.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
2022-02-01,489041.80207,74321.80207,414720.00000,10200.00000,2829,13,46,3,72.00000,9200.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,72,3,120,360
2022-02-02,487535.64171,71951.64171,415584.00000,11000.00000,2784,5,50,0,72.00000,10000.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,72,3,120,360
2022-02-03,482958.80325,69482.96325,413475.84000,13400.00000,2718,4,62,2,79.00000,12400.00000,400.00000,0.00000,0,,0,0,0,1000.00000,,79,3,120,360
2022-02-04,481590.99894,68063.31894,413527.68000,15000.00000,2649,13,70,3,72.00000,14000.00000,600.00000,0.00000,0,,0,0,0,1000.00000,,72,3,120,360
2022-02-05,478222.91231,65179.07231,413043.84000,12300.00000,2592,8,59,1,26.00000,11800.00000,200.00000,0.00000,0,,0,0,0,500.00000,,26,1,30,120
2022-02-06,476216.08817,63172.24817,413043.84000,13800.00000,2532,11,69,1,0.00000,13800.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-07,474016.71610,62113.35610,411903.36000,12400.00000,2481,15,62,0,0.00000,12400.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-08,471971.58640,60534.78640,411436.80000,12000.00000,2431,16,60,0,0.00000,12000.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-09,468542.58473,56898.42473,411644.16000,11400.00000,2383,15,57,1,0.00000,11400.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-10,466226.17820,53510.65820,412715.52000,13800.00000,2319,9,69,2,0.00000,13800.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-11,464421.05996,52258.49996,412162.56000,13200.00000,2257,7,66,1,0.00000,13200.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-12,462353.74704,50208.46704,412145.28000,16600.00000,2181,10,83,2,0.00000,16600.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-13,459871.07327,48123.23327,411747.84000,13400.00000,2124,14,67,2,0.00000,13400.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-14,457317.06861,45759.30861,411557.76000,14800.00000,2059,12,74,1,0.00000,14800.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-15,459830.98779,48255.94779,411575.04000,11600.00000,2009,10,58,0,0.00000,11600.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-16,456640.83298,46309.95298,410330.88000,11800.00000,1951,8,59,2,0.00000,11800.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-17,453499.89603,43825.65603,409674.24000,13000.00000,1896,13,65,0,0.00000,13000.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-18,449215.58934,40128.86934,409086.72000,13400.00000,1836,9,67,0,0.00000,13400.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-19,433624.24141,25505.20141,408119.04000,13800.00000,1774,12,69,1,0.00000,13800.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-20,424809.17202,19368.53202,405440.64000,4200.00000,1754,9,21,2,0.00000,4200.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-21,426152.24149,20158.64149,405993.60000,0.00000,1759,14,0,3,0.00000,0.00000,600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-22,426285.98034,20309.66034,405976.32000,0.00000,1755,6,0,3,0.00000,0.00000,600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-23,426701.82192,20846.46192,405855.36000,0.00000,1766,15,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-24,427257.38221,20883.62221,406373.76000,0.00000,1771,11,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-25,426506.71273,21359.83273,405146.88000,0.00000,1772,7,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-26,423569.00137,21394.28137,402174.72000,0.00000,1771,8,0,3,0.00000,0.00000,600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-27,424604.19681,21651.87681,402952.32000,0.00000,1781,12,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-28,426324.17126,21661.13126,404663.04000,0.00000,1784,7,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-01,428302.88638,21721.76638,406581.12000,0.00000,1796,14,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-02,429922.02502,21802.98502,408119.04000,0.00000,1805,12,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-03,430213.56238,21904.44238,408309.12000,0.00000,1810,9,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-04,430222.14849,21982.14849,408240.00000,0.00000,1818,12,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-05,429358.35305,22189.71305,407168.64000,0.00000,1821,8,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-06,429010.50866,22204.74866,406805.76000,0.00000,1828,9,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-07,429943.92211,22360.56211,407583.36000,0.00000,1841,15,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-08,428327.56781,22368.52781,405959.04000,0.00000,1840,4,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-09,428660.35689,22407.55689,406252.80000,0.00000,1846,11,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-10,430331.64131,22834.68131,407496.96000,0.00000,1860,17,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-11,431873.42681,22942.22681,408931.20000,0.00000,1869,13,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-12,432634.35939,23029.23939,409605.12000,0.00000,1872,7,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-13,432534.77484,23206.13484,409328.64000,0.00000,1879,14,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-14,432237.41397,23427.17397,408810.24000,0.00000,1884,11,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-15,433580.61448,23992.77448,409587.84000,0.00000,1891,11,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-16,432078.13342,24131.89342,407946.24000,0.00000,1895,11,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-17,432627.90755,24370.62755,408257.28000,0.00000,1900,10,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-18,431884.93460,24370.69460,407514.24000,0.00000,1898,4,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-19,432195.71979,24491.39979,407704.32000,0.00000,1902,12,0,3,0.00000,0.00000,600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-20,431520.69656,24507.57656,407013.12000,0.00000,1907,9,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-21,430921.16259,24772.04259,406149.12000,0.00000,1910,6,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-22,431453.47330,25200.67330,406252.80000,0.00000,1917,8,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-23,430488.67792,25272.67792,405216.00000,0.00000,1917,8,0,3,0.00000,0.00000,600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-24,429935.18223,25289.42223,404645.76000,0.00000,1924,12,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-25,430498.42979,26111.86979,404386.56000,0.00000,1932,15,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-26,432123.56726,26216.36726,405907.20000,0.00000,1936,13,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-27,431834.53250,26514.85250,405319.68000,0.00000,1937,8,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-28,433237.31191,26880.83191,406356.48000,0.00000,1947,15,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-29,437031.98208,26925.74208,410106.24000,0.00000,1957,12,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-30,439118.83925,26938.99925,412179.84000,0.00000,1966,11,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-03-31,438820.58255,27020.90255,411799.68000,0.00000,1973,11,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-01,439725.94174,27926.26174,411799.68000,0.00000,1978,7,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-02,440121.57722,27941.73722,412179.84000,0.00000,1982,8,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-03,439196.56493,28278.16493,410918.40000,0.00000,1992,13,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-04,438669.09295,28338.21295,410330.88000,0.00000,1993,10,0,3,0.00000,0.00000,600.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-05,440687.68380,28421.44380,412266.24000,0.00000,2002,11,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-06,444372.65899,28564.01899,415808.64000,0.00000,2013,15,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-07,444193.57123,28765.09123,415428.48000,0.00000,2019,9,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-08,445037.08020,28865.56020,416171.52000,0.00000,2026,9,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-09,446602.96022,28979.92022,417623.04000,0.00000,2031,9,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-10,447654.22503,29167.18503,418487.04000,0.00000,2040,13,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-11,448421.29198,29346.73198,419074.56000,0.00000,2050,13,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-12,448271.98813,29473.90813,418798.08000,0.00000,2053,8,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-13,447944.85857,29786.13857,418158.72000,0.00000,2066,16,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-14,448886.96810,29846.96810,419040.00000,0.00000,2070,11,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-15,449934.08158,30133.76158,419800.32000,0.00000,2079,11,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-16,451133.16595,30175.08595,420958.08000,0.00000,2089,12,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-17,450269.42939,30469.10939,419800.32000,0.00000,2094,7,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-18,449207.86587,30565.30587,418642.56000,0.00000,2093,10,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-19,449874.90611,32562.90611,417312.00000,0.00000,2092,6,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-04-20,450596.07358,32610.15358,417985.92000,0.00000,2097,10,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
