Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9876.19453,6654.98793,3221.20660,500.00000,3655,3680,0,21,0.00000,0.00000,4200.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,9867.51725,6655.65828,3211.85897,500.00000,3655,10,0,5,0.00000,0.00000,1000.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-03,9867.44277,6662.80865,3204.63412,1500.00000,3658,15,0,7,59.00000,0.00000,1400.00000,500.00000,9,,9,300,180,1000.00000,,59,3,120,360
2022-01-04,9892.50632,6672.64042,3219.86590,1500.00000,3664,14,0,4,54.00000,0.00000,800.00000,500.00000,9,,9,300,180,1000.00000,,54,3,120,360
2022-01-05,9878.09385,6672.19352,3205.90033,1500.00000,3658,7,0,5,60.00000,0.00000,1000.00000,500.00000,9,,9,300,180,1000.00000,,60,3,120,360
2022-01-06,9898.65117,6682.91908,3215.73209,1500.00000,3660,15,0,11,57.00000,0.00000,2200.00000,500.00000,9,,9,300,180,1000.00000,,57,3,120,360
2022-01-07,9887.25526,6688.72876,3198.52650,1500.00000,3661,11,0,7,62.00000,0.00000,1400.00000,500.00000,9,,9,300,180,1000.00000,,62,3,120,360
2022-01-08,9889.00562,6696.32603,3192.67958,1500.00000,3662,8,0,5,51.00000,0.00000,1000.00000,500.00000,9,,9,300,180,1000.00000,,51,3,120,360
2022-01-09,9899.09807,6692.30395,3206.79413,1500.00000,3662,10,0,5,48.00000,0.00000,1000.00000,500.00000,9,,9,300,180,1000.00000,,48,3,120,360
2022-01-10,9882.78628,6678.22665,3204.55963,1500.00000,3653,7,0,10,57.00000,0.00000,2000.00000,500.00000,9,,9,300,180,1000.00000,,57,3,120,360
2022-01-11,9895.07599,6673.53421,3221.54177,1500.00000,3652,7,0,7,61.00000,0.00000,1400.00000,500.00000,9,,9,300,180,1000.00000,,61,3,120,360
