Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9857.27583,6614.09672,3243.17910,400.00000,3668,3688,0,13,0.00000,0.00000,2600.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,9850.83304,6609.18084,3241.65220,400.00000,3667,9,0,7,0.00000,0.00000,1400.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-03,9858.65376,6610.29809,3248.35568,1400.00000,3665,11,0,9,50.00000,0.00000,1800.00000,400.00000,9,,10,180,270,1000.00000,,50,3,120,360
2022-01-04,9863.49516,6611.63878,3251.85638,1400.00000,3669,12,0,6,48.00000,0.00000,1200.00000,400.00000,9,,10,180,270,1000.00000,,48,3,120,360
2022-01-05,9858.05790,6602.03046,3256.02743,1400.00000,3667,8,0,9,54.00000,0.00000,1800.00000,400.00000,9,,10,180,270,1000.00000,,54,3,120,360
2022-01-06,9880.84972,6633.31335,3247.53636,1400.00000,3672,12,0,3,53.00000,0.00000,600.00000,400.00000,9,,10,180,270,1000.00000,,53,3,120,360
2022-01-07,9864.91034,6621.47055,3243.43979,1400.00000,3670,7,0,7,56.00000,0.00000,1400.00000,400.00000,9,,10,180,270,1000.00000,,56,3,120,360
2022-01-08,9832.99434,6599.34907,3233.64527,1400.00000,3665,8,0,10,56.00000,0.00000,2000.00000,400.00000,9,,10,180,270,1000.00000,,56,3,120,360
2022-01-09,9847.36958,6626.83333,3220.53625,1400.00000,3665,10,0,3,57.00000,0.00000,600.00000,400.00000,9,,10,180,270,1000.00000,,57,3,120,360
2022-01-10,9822.00809,6626.83333,3195.17476,1400.00000,3657,5,0,3,61.00000,0.00000,600.00000,400.00000,9,,10,180,270,1000.00000,,61,3,120,360
2022-01-11,9823.57224,6638.22924,3185.34300,1400.00000,3661,11,0,3,53.00000,0.00000,600.00000,400.00000,9,,10,180,270,1000.00000,,53,3,120,360
2022-01-12,9831.98882,6642.02787,3189.96095,1400.00000,3669,14,0,4,52.00000,0.00000,800.00000,400.00000,9,,1,20,30,1000.00000,,52,3,120,360
2022-01-13,9815.08117,6636.66509,3178.41607,1000.00000,3665,8,0,9,69.00000,0.00000,1800.00000,0.00000,9,,0,0,0,1000.00000,,69,3,120,360
2022-01-14,9833.03159,6655.88172,3177.14986,1000.00000,3676,18,0,3,55.00000,0.00000,600.00000,0.00000,1,,0,0,0,1000.00000,,55,3,120,360
