Program Name,Simulation,"Total ""True"" Mitigated Emissions (Kg Methane)","Total ""True"" Emissions (Kg Methane)","Total ""Estimated"" Emissions (Kg Methane)","Total ""True"" Mitigable Emissions (Kg Methane)","Total ""True"" Non-Mitigable Emissions (Kg Methane)","Average ""True"" Emissions Rate (g/s)","95th Percentile ""True"" Emissions Rate (g/s)","5th Percentile ""True"" Emissions Rate (g/s)","Average ""True"" Emissions Amount (Kg Methane)","95th Percentile ""True"" Emissions Amount (Kg Methane)","5th Percentile ""True"" Emissions Amount (Kg Methane)","Year 2022 ""True"" Mitigated Emissions (Kg Methane)","Year 2022 ""True"" Emissions (Kg Methane)","Year 2022 ""Estimated"" Emissions (Kg Methane)"
P_aircraft,0,1109956.2602403457,2494859.658531869,0.0,1380882.176436096,1113977.4820957729,0.03173696773131452,0.095690057,0.002586218,343.4080741268918,1555.7428025395197,11.619360230400002,1104746.6241495016,1090110.090705058,1335688.7454778585
P_aircraft,1,1132130.689921584,2498001.2793081217,0.0,1371627.5802581664,1126373.6990499552,0.03141532727764866,0.095690057,0.002586218,341.49026374683825,1529.5098710880002,12.758951079360004,1128549.4779327335,1100189.6936187423,1366863.4106033733
P_aircraft,2,1095735.058304832,2557462.8287050272,0.0,1449975.1307471711,1107487.697957856,0.031124162917687073,0.095690057,0.002586218,347.95412635442545,1612.186080336,12.5131571712,1092120.3619373173,1126350.5573955507,1315892.1135362005
P_aircraft,3,1047308.6982920256,2465445.9589277185,0.0,1398199.937411981,1067246.0215157378,0.031258030906759576,0.095690057,0.002586218,343.61616152302696,1559.139233221438,12.5131571712,1044478.705541244,1080406.939230481,1285401.1270956956
P_aircraft,4,1137200.9759183233,2402403.747099178,0.0,1363915.45401552,1038488.2930836576,0.03065193941619455,0.095690057,0.002586218,331.961274989523,1496.2159289088,12.7366064064,1133032.9641222262,1036001.5641007641,1207309.2016146248
P_drone,0,1102484.1185101727,2502580.9461361347,0.0,1388603.4640403616,1113977.4820957729,0.03173696773131452,0.095690057,0.002586218,344.4708804041479,1566.7811983699164,11.619360230400002,1097364.6463856497,1093833.3567571267,1323439.1107248394
P_drone,1,1113188.4531523297,2517052.1123947105,0.0,1390678.4133447553,1126373.6990499552,0.03141532727764866,0.095690057,0.002586218,344.09461550166924,1545.2853846566372,12.7366064064,1110149.729726434,1109313.6616215797,1371977.6418275875
P_drone,2,1098276.7931175455,2554478.4410012737,0.0,1446990.7430434176,1107487.697957856,0.03112416291768707,0.095690057,0.002586218,347.54808721105763,1612.186080336,12.5131571712,1094494.017802094,1125177.9539444537,1309941.1767848004
P_drone,3,1051539.932585117,2461264.1069112862,0.0,1394018.085395549,1067246.0215157378,0.031258030906759576,0.095690057,0.002586218,343.0333250050573,1553.508316287357,12.5131571712,1048228.8162322018,1079009.772299,1282261.2187057594
P_drone,4,1128829.4511587713,2411051.67853632,0.0,1372563.3854526626,1038488.2930836576,0.03065193941619455,0.095690057,0.002586218,333.15623580714663,1502.2490576543998,12.55784668992001,1125059.932234672,1039564.2156281892,1201482.8007369894
P_none,0,0.0,3603523.935421642,0.0,2489546.4533258686,1113977.4820957729,0.03173696773131452,0.095690057,0.002586218,496.01155339595897,1893.9108475987193,12.960054639360001,0.0,1896729.388582205,0.0
P_none,1,0.0,3627730.7839819584,0.0,2501357.084932003,1126373.6990499552,0.03141532727764866,0.095690057,0.002586218,495.9303874206368,1909.8204336288,13.876197324480005,0.0,1930414.8180790031,0.0
P_none,2,0.0,3650527.2220118497,0.0,2543039.5240539936,1107487.697957856,0.03112416291768707,0.095690057,0.002586218,496.67037034174825,1931.2045191388788,13.8538525824,0.0,1932102.8215236268,0.0
P_none,3,0.0,3510994.1008665888,0.0,2443748.0793508515,1067246.0215157378,0.031258030906759576,0.095690057,0.002586218,489.337156915204,1909.4852586268787,14.07730041792,0.0,1848367.437808489,0.0
P_none,4,0.0,3538984.428002189,0.0,2500496.1349185314,1038488.2930836576,0.03065193941619455,0.095690057,0.002586218,489.01263341193714,1933.8188782233572,14.747646672000002,0.0,1871489.8419955415,0.0
P_OGI,0,987717.2507398655,2617206.3705558525,0.0,1503228.8884600801,1113977.4820957729,0.03173696773131452,0.095690057,0.002586218,360.2486401315695,1609.6387527820793,12.066256368,982774.9312289982,1183156.5878990574,1135239.3095577334
P_OGI,1,1027137.2672465857,2602170.1743861022,0.0,1475796.475336147,1126373.6990499552,0.03141532727764866,0.095690057,0.002586218,355.73071420179116,1574.2667399126387,12.758951079360004,1023802.6735088908,1177678.8613849888,1149840.4483996322
P_OGI,2,984435.0050718433,2668225.4865818787,0.0,1560737.7886240224,1107487.697957856,0.031124162917687073,0.095690057,0.002586218,363.0238757254257,1672.2715687603181,12.7366064064,980935.2942870504,1213756.1455143273,1124805.1996217554
P_OGI,3,952517.519872704,2560106.1961092963,0.0,1492860.1745935585,1067246.0215157378,0.031258030906759576,0.095690057,0.002586218,356.80922593857787,1604.3206586342383,12.7366064064,948539.2529128956,1158729.6413958739,1071359.5731860646
P_OGI,4,1038207.6116123617,2502454.026184819,0.0,1463965.7331011617,1038488.2930836576,0.03065193941619455,0.095690057,0.002586218,345.7861028305678,1536.4367927135968,12.78129575232001,1032779.821483331,1114479.790235382,1041292.5445492272
P_stationary,0,667217.1169871137,2934960.0900244415,0.0,1820982.6079286686,1113977.4820957729,0.03173696773131452,0.095690057,0.002586218,403.98624776661273,1757.6962002489583,12.5131571712,552900.1772003691,1546739.1476418625,35013.97018183685
