Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,9905.09396,7075.51935,2829.57461,2876.00000,3680,3689,0,5,50,0.00000,1000.00000,2876.00000,,50,3,180,300
2022-01-02,9888.59596,7068.59242,2820.00354,2876.00000,3680,10,0,6,59,0.00000,1200.00000,2876.00000,,59,3,180,360
2022-01-03,9891.05390,7080.21178,2810.84212,2876.00000,3680,9,0,7,36,0.00000,1400.00000,2876.00000,,36,3,180,300
2022-01-04,9922.29955,7100.32221,2821.97734,2876.00000,3685,11,0,5,78,0.00000,1000.00000,2876.00000,,78,3,180,360
2022-01-05,9911.12709,7097.64082,2813.48627,2876.00000,3684,7,0,7,43,0.00000,1400.00000,2876.00000,,43,3,180,300
2022-01-06,9911.64847,7093.61874,2818.02974,2876.00000,3680,4,0,5,54,0.00000,1000.00000,2876.00000,,54,3,180,360
2022-01-07,9911.38778,7098.31117,2813.07661,2876.00000,3682,15,0,9,36,0.00000,1800.00000,2876.00000,,36,3,180,300
2022-01-08,9917.27195,7092.72494,2824.54701,2876.00000,3683,13,0,7,56,0.00000,1400.00000,2876.00000,,56,3,180,360
2022-01-09,9949.44863,7135.18029,2814.26834,2876.00000,3686,11,0,3,35,0.00000,600.00000,2876.00000,,35,3,180,300
2022-01-10,9967.73423,7150.15139,2817.58284,2876.00000,3696,15,0,4,48,0.00000,800.00000,2876.00000,,48,3,180,360
2022-01-11,9977.78944,7160.43005,2817.35939,2876.00000,3700,11,0,6,46,0.00000,1200.00000,2876.00000,,46,3,180,300
2022-01-12,9984.23223,7156.63141,2827.60081,2876.00000,3700,8,0,7,53,0.00000,1400.00000,2876.00000,,53,3,180,360
2022-01-13,10019.76065,7183.22187,2836.53878,2876.00000,3710,14,0,4,39,0.00000,800.00000,2876.00000,,39,3,180,300
2022-01-14,10026.91103,7198.86332,2828.04771,2876.00000,3715,11,0,2,58,0.00000,400.00000,2876.00000,,58,3,180,360
2022-01-15,10023.78274,7195.06468,2828.71806,2876.00000,3717,13,0,6,41,0.00000,1200.00000,2876.00000,,41,3,180,300
2022-01-16,9845.54475,7020.99774,2824.54701,12076.00000,3671,8,46,5,63,9200.00000,1000.00000,2876.00000,,63,3,180,360
2022-01-17,9671.66402,6854.97498,2816.68904,14276.00000,3615,13,57,9,47,11400.00000,1800.00000,2876.00000,,47,3,180,300
2022-01-18,9554.12973,6745.70831,2808.42142,9076.00000,3587,9,31,5,69,6200.00000,1000.00000,2876.00000,,69,3,180,360
2022-01-19,9297.87073,6500.58452,2797.28620,16276.00000,3523,7,67,1,29,13400.00000,200.00000,2876.00000,,29,3,180,300
2022-01-20,9196.61099,6387.74267,2808.86832,10476.00000,3495,17,38,7,61,7600.00000,1400.00000,2876.00000,,61,3,180,360
2022-01-21,9041.42551,6246.96967,2794.45585,12076.00000,3448,10,46,6,39,9200.00000,1200.00000,2876.00000,,39,3,180,300
2022-01-22,8914.28291,6118.93327,2795.34964,10276.00000,3406,5,37,8,50,7400.00000,1600.00000,2876.00000,,50,3,180,360
2022-01-23,8750.15946,5960.06088,2790.09859,13076.00000,3354,7,51,5,44,10200.00000,1000.00000,2876.00000,,44,3,180,300
2022-01-24,8670.38809,5890.34472,2780.04337,8876.00000,3328,11,30,3,57,6000.00000,600.00000,2876.00000,,57,3,180,360
2022-01-25,8501.46049,5722.08746,2779.37302,12476.00000,3280,9,48,6,34,9600.00000,1200.00000,2876.00000,,34,3,180,300
2022-01-26,8356.62816,5584.44275,2772.18541,10276.00000,3245,7,37,3,62,7400.00000,600.00000,2876.00000,,62,3,180,360
2022-01-27,8223.63863,5441.43525,2782.20338,12076.00000,3204,7,46,0,37,9200.00000,0.00000,2876.00000,,37,3,180,300
2022-01-28,8087.07392,5279.88147,2807.19245,9876.00000,3170,8,35,3,58,7000.00000,600.00000,2876.00000,,58,3,180,360
2022-01-29,7955.01544,5155.42026,2799.59518,12876.00000,3128,13,50,2,38,10000.00000,400.00000,2876.00000,,38,3,180,300
2022-01-30,7810.03414,5012.85966,2797.17448,10476.00000,3088,6,38,4,57,7600.00000,800.00000,2876.00000,,57,3,180,360
2022-01-31,7617.86781,4822.70438,2795.16344,14676.00000,3028,8,59,5,45,11800.00000,1000.00000,2876.00000,,45,3,180,300
2022-02-01,7471.99272,4678.80309,2793.18963,11676.00000,2987,6,44,2,60,8800.00000,400.00000,2876.00000,,60,3,180,360
2022-02-02,7280.08709,4490.21195,2789.87514,14876.00000,2927,12,60,6,36,12000.00000,1200.00000,2876.00000,,36,3,180,300
2022-02-03,7226.23583,4445.96901,2780.26682,7476.00000,2903,5,23,3,63,4600.00000,600.00000,2876.00000,,63,3,180,360
2022-02-04,7050.86544,4280.84004,2770.02540,12676.00000,2857,9,49,4,36,9800.00000,800.00000,2876.00000,,36,3,180,300
2022-02-05,6950.23881,4176.48925,2773.74955,9676.00000,2826,10,34,3,63,6800.00000,600.00000,2876.00000,,63,3,180,360
2022-02-06,6809.24235,4043.09007,2766.15228,11876.00000,2786,9,45,2,34,9000.00000,400.00000,2876.00000,,34,3,180,300
2022-02-07,6683.88734,3918.18196,2765.70538,10476.00000,2749,7,38,2,73,7600.00000,400.00000,2876.00000,,73,3,180,360
2022-02-08,6510.11834,3749.47781,2760.64053,12676.00000,2697,6,49,5,48,9800.00000,1000.00000,2876.00000,,48,3,180,300
2022-02-09,6455.48501,3663.44986,2792.03515,8876.00000,2677,15,30,3,67,6000.00000,600.00000,2876.00000,,67,3,180,360
2022-02-10,6223.61921,3452.96070,2770.65851,11400.00000,2623,9,57,0,0,11400.00000,0.00000,0.00000,,0,0,0,0
2022-02-11,6133.38297,3373.18933,2760.19363,6600.00000,2602,17,33,1,0,6600.00000,200.00000,0.00000,,0,0,0,0
2022-02-12,5953.46911,3183.03405,2770.43506,10200.00000,2555,12,51,5,0,10200.00000,1000.00000,0.00000,,0,0,0,0
2022-02-13,5840.59001,3069.29840,2771.29161,7000.00000,2527,11,35,2,0,7000.00000,400.00000,0.00000,,0,0,0,0
2022-02-14,5683.46797,2909.97911,2773.48886,10200.00000,2479,9,51,3,0,10200.00000,600.00000,0.00000,,0,0,0,0
2022-02-15,5544.70601,2781.27236,2763.43365,8000.00000,2443,10,40,1,0,8000.00000,200.00000,0.00000,,0,0,0,0
2022-02-16,5355.48177,2594.69227,2760.78950,9600.00000,2399,10,48,4,0,9600.00000,800.00000,0.00000,,0,0,0,0
2022-02-17,5293.99599,2531.00925,2762.98675,6200.00000,2376,13,31,3,0,6200.00000,600.00000,0.00000,,0,0,0,0
2022-02-18,5068.61022,2308.90073,2759.70949,12200.00000,2322,11,61,2,0,12200.00000,400.00000,0.00000,,0,0,0,0
2022-02-19,4956.84837,2204.54994,2752.29843,5800.00000,2297,9,29,2,0,5800.00000,400.00000,0.00000,,0,0,0,0
2022-02-20,4750.90268,1999.64702,2751.25567,11000.00000,2247,9,55,2,0,11000.00000,400.00000,0.00000,,0,0,0,0
2022-02-21,4666.17819,1912.05492,2754.12326,6000.00000,2221,11,30,3,0,6000.00000,600.00000,0.00000,,0,0,0,0
2022-02-22,4488.98296,1726.36863,2762.61433,13000.00000,2163,13,65,3,0,13000.00000,600.00000,0.00000,,0,0,0,0
2022-02-23,4338.11750,1590.73495,2747.38255,9000.00000,2120,6,45,2,0,9000.00000,400.00000,0.00000,,0,0,0,0
2022-02-24,4142.86013,1388.96032,2753.89981,11600.00000,2066,11,58,3,0,11600.00000,600.00000,0.00000,,0,0,0,0
2022-02-25,4166.95540,1401.69692,2765.25848,0.00000,2076,11,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-02-26,4185.61341,1414.88042,2770.73299,0.00000,2078,8,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-02-27,4232.27706,1441.91778,2790.35928,0.00000,2087,13,0,3,0,0.00000,600.00000,0.00000,,0,0,0,0
2022-02-28,4237.19294,1455.54818,2781.64476,0.00000,2089,10,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-03-01,4237.71432,1470.51928,2767.19504,0.00000,2085,6,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-02,4235.25638,1476.77586,2758.48052,0.00000,2084,6,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-03-03,4234.39982,1479.01035,2755.38948,0.00000,2088,10,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-04,4249.14747,1484.37313,2764.77434,0.00000,2094,9,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-05,4257.19164,1491.30005,2765.89159,0.00000,2102,10,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-06,4285.71866,1497.55663,2788.16203,0.00000,2111,12,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-07,4300.20562,1510.06979,2790.13583,0.00000,2117,12,0,3,0,0.00000,600.00000,0.00000,,0,0,0,0
2022-03-08,4338.26647,1535.98990,2802.27657,0.00000,2121,12,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-03-09,4363.96313,1561.23966,2802.72347,0.00000,2128,11,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-10,4370.40591,1576.88110,2793.52481,0.00000,2131,8,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-11,4387.35081,1584.03148,2803.31933,0.00000,2133,10,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-03-12,4406.60468,1590.06461,2816.54008,0.00000,2136,9,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-13,4436.09998,1610.39849,2825.70150,0.00000,2140,11,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-03-14,4462.50423,1639.22343,2823.28080,0.00000,2148,12,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-03-15,4475.16635,1656.20557,2818.96078,0.00000,2157,14,0,3,0,0.00000,600.00000,0.00000,,0,0,0,0
2022-03-16,4500.41611,1680.56154,2819.85457,0.00000,2165,11,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-17,4527.00657,1706.70510,2820.30147,0.00000,2172,10,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-18,4575.27160,1755.19358,2820.07802,0.00000,2183,15,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-19,4584.20957,1773.51641,2810.69316,0.00000,2191,12,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-20,4611.43313,1790.05165,2821.38148,0.00000,2196,7,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-21,4642.60430,1823.79248,2818.81181,0.00000,2205,15,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-22,4670.90786,1848.37190,2822.53596,0.00000,2208,7,0,3,0,0.00000,600.00000,0.00000,,0,0,0,0
2022-03-23,4704.16455,1871.61062,2832.55394,0.00000,2217,13,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-24,4746.50818,1911.16113,2835.34705,0.00000,2224,14,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-25,4756.33995,1922.11014,2834.22981,0.00000,2223,5,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-26,4806.57878,1951.60543,2854.97334,0.00000,2238,16,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-27,4809.85603,1951.60543,2858.25060,0.00000,2241,7,0,3,0,0.00000,600.00000,0.00000,,0,0,0,0
2022-03-28,4816.33606,1958.97926,2857.35680,0.00000,2243,8,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-03-29,4860.98866,1975.73795,2885.25071,0.00000,2254,13,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-03-30,4877.22597,1987.58076,2889.64521,0.00000,2261,10,0,3,0,0.00000,600.00000,0.00000,,0,0,0,0
2022-03-31,4899.60813,2004.11600,2895.49213,0.00000,2266,10,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-04-01,4919.90477,2013.50087,2906.40390,0.00000,2272,9,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-04-02,4925.93790,2019.08710,2906.85080,0.00000,2277,11,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-04-03,4957.77941,2053.72172,2904.05769,0.00000,2285,15,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
2022-04-04,4990.29127,2070.70387,2919.58741,0.00000,2296,16,0,4,0,0.00000,800.00000,0.00000,,0,0,0,0
