Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),drone Deployment Cost ($),drone Sites flagged for Follow-Up,drone Leaks tagged for repair,drone Sites Visited,drone Travel Time (Minutes),drone Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9488.84532,6796.65473,2692.19059,500.00000,3607,3622,0,11,0.00000,0.00000,2200.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-02,9506.27436,6805.36925,2700.90511,500.00000,3613,12,0,4,0.00000,0.00000,800.00000,500.00000,0,,9,300,180,0.00000,,0,0,0,0
2022-01-03,9523.70340,6814.08377,2709.61963,1500.00000,3618,10,0,3,59.00000,0.00000,600.00000,500.00000,9,,9,300,180,1000.00000,,59,3,120,360
2022-01-04,9515.77095,6800.67682,2715.09413,1500.00000,3617,10,0,10,52.00000,0.00000,2000.00000,500.00000,9,,9,300,180,1000.00000,,52,3,120,360
2022-01-05,9491.60119,6774.98016,2716.62104,1500.00000,3614,8,0,8,53.00000,0.00000,1600.00000,500.00000,9,,9,300,180,1000.00000,,53,3,120,360
2022-01-06,9491.60119,6774.98016,2716.62104,1500.00000,3614,6,0,3,58.00000,0.00000,600.00000,500.00000,9,,9,300,180,1000.00000,,58,3,120,360
2022-01-07,9480.20528,6771.85187,2708.35341,1500.00000,3610,5,0,7,50.00000,0.00000,1400.00000,500.00000,9,,9,300,180,1000.00000,,50,3,120,360
2022-01-08,9510.40817,6804.47545,2705.93271,1500.00000,3614,14,0,6,67.00000,0.00000,1200.00000,500.00000,9,,9,300,180,1000.00000,,67,3,120,360
2022-01-09,9487.72807,6795.76093,2691.96714,1500.00000,3613,9,0,5,50.00000,0.00000,1000.00000,500.00000,9,,9,300,180,1000.00000,,50,3,120,360
2022-01-10,9475.21492,6793.07954,2682.13537,1500.00000,3608,6,0,6,57.00000,0.00000,1200.00000,500.00000,9,,9,300,180,1000.00000,,57,3,120,360
2022-01-11,9482.55150,6797.54853,2685.00297,1500.00000,3609,9,0,6,54.00000,0.00000,1200.00000,500.00000,9,,9,300,180,1000.00000,,54,3,120,360
2022-01-12,9486.31289,6799.55957,2686.75332,1500.00000,3613,14,0,9,45.00000,0.00000,1800.00000,500.00000,9,,1,30,20,1000.00000,,45,3,120,360
2022-01-13,9487.02048,6800.67682,2686.34367,1000.00000,3619,12,0,5,64.00000,0.00000,1000.00000,0.00000,9,,0,0,0,1000.00000,,64,3,120,360
2022-01-14,9465.15970,6789.95125,2675.20845,1000.00000,3615,8,0,7,61.00000,0.00000,1400.00000,0.00000,1,,0,0,0,1000.00000,,61,3,120,360
2022-01-15,9499.68261,6808.49754,2691.18507,1000.00000,3627,16,0,4,64.00000,0.00000,800.00000,0.00000,0,,0,0,0,1000.00000,,64,3,120,360
2022-01-16,9523.55443,6829.72521,2693.82922,1000.00000,3635,14,0,6,68.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,68,3,120,360
