Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),stationary Deployment Cost ($),stationary Sites flagged for Follow-Up,stationary Leaks tagged for repair,stationary Sites Visited,stationary Travel Time (Minutes),stationary Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,9751.13745,6938.09808,2813.03937,6300.00000,3591,3607,0,11,0.00000,0.00000,2200.00000,6300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-02,9735.30980,6932.51185,2802.79795,300.00000,3589,9,0,7,0.00000,0.00000,1400.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-03,9736.16635,6940.77947,2795.38688,300.00000,3591,11,0,6,0.00000,0.00000,1200.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-04,9742.19948,6946.14225,2796.05723,300.00000,3598,12,0,5,0.00000,0.00000,1000.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-05,9733.93186,6946.36570,2787.56616,300.00000,3601,11,0,3,0.00000,0.00000,600.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-06,9721.19526,6934.29945,2786.89581,300.00000,3597,7,0,9,0.00000,0.00000,1800.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-07,9738.36360,6950.38779,2787.97582,300.00000,3600,8,0,3,0.00000,0.00000,600.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-08,9789.49623,6982.78792,2806.70831,300.00000,3610,14,0,3,0.00000,0.00000,600.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-09,9766.03407,6968.48718,2797.54689,300.00000,3603,4,0,7,0.00000,0.00000,1400.00000,300,0,,100,0,0,0.00000,,0,0,0,0
2022-01-10,9790.83693,6992.61969,2798.21724,1300.00000,3613,14,0,3,66.00000,0.00000,600.00000,300,100,,100,0,0,1000.00000,,66,3,120,360
2022-01-11,9781.89896,6984.57552,2797.32344,1300.00000,3609,11,0,12,72.00000,0.00000,2400.00000,300,0,,100,0,0,1000.00000,,72,3,120,360
2022-01-12,9788.26726,6987.92726,2800.34001,1300.00000,3608,11,0,9,85.00000,0.00000,1800.00000,300,0,,100,0,0,1000.00000,,85,3,120,360
2022-01-13,9769.38580,6991.50244,2777.88336,1300.00000,3606,15,0,10,82.00000,0.00000,2000.00000,300,0,,100,0,0,1000.00000,,82,3,120,360
2022-01-14,9760.85749,6980.55343,2780.30406,1300.00000,3602,6,0,7,62.00000,0.00000,1400.00000,300,0,,100,0,0,1000.00000,,62,3,120,360
2022-01-15,9747.71123,6977.42514,2770.28609,1300.00000,3610,17,0,6,73.00000,0.00000,1200.00000,300,0,,100,0,0,1000.00000,,73,3,120,360
2022-01-16,9747.89744,6984.57552,2763.32192,1300.00000,3615,13,0,4,61.00000,0.00000,800.00000,300,0,,100,0,0,1000.00000,,61,3,120,360
2022-01-17,9747.07812,6988.59760,2758.48052,1300.00000,3610,11,0,12,58.00000,0.00000,2400.00000,300,0,,100,0,0,1000.00000,,58,3,120,360
2022-01-18,9737.76774,6990.38520,2747.38254,1300.00000,3610,6,0,2,72.00000,0.00000,400.00000,300,0,,100,0,0,1000.00000,,72,3,120,360
2022-01-19,9742.38569,6991.72589,2750.65980,1300.00000,3604,4,0,9,67.00000,0.00000,1800.00000,300,24,,100,0,0,1000.00000,,67,3,120,360
2022-01-20,9735.71946,6986.58656,2749.13289,1300.00000,3605,10,0,7,66.00000,0.00000,1400.00000,300,0,,100,0,0,1000.00000,,66,3,120,360
2022-01-21,9731.51116,6984.57552,2746.93564,1300.00000,3604,7,0,5,74.00000,0.00000,1000.00000,300,0,,100,0,0,1000.00000,,74,3,120,360
2022-01-22,9752.21746,7003.12180,2749.09565,1300.00000,3603,8,0,5,86.00000,0.00000,1000.00000,300,0,,100,0,0,1000.00000,,86,3,120,360
2022-01-23,9772.06719,7002.45146,2769.61574,1300.00000,3610,14,0,7,83.00000,0.00000,1400.00000,300,0,,100,0,0,1000.00000,,83,3,120,360
2022-01-24,9775.64238,6997.98247,2777.65991,1300.00000,3608,10,0,9,64.00000,0.00000,1800.00000,300,0,,100,0,0,1000.00000,,64,3,120,360
2022-01-25,9589.02505,6817.43551,2771.58954,12300.00000,3554,10,55,8,74.00000,11000.00000,1600.00000,300,0,,100,0,0,1000.00000,,74,3,120,360
2022-01-26,9366.20894,6600.24287,2765.96607,14100.00000,3501,15,64,3,61.00000,12800.00000,600.00000,300,0,,100,0,0,1000.00000,,61,3,120,360
2022-01-27,9122.23964,6342.38248,2779.85716,16100.00000,3428,13,74,8,60.00000,14800.00000,1600.00000,300,24,,100,0,0,1000.00000,,60,3,120,360
2022-01-28,8886.72417,6108.65460,2778.06957,16300.00000,3351,10,75,7,14.00000,15000.00000,1400.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-01-29,8718.65312,5929.89523,2788.75789,11900.00000,3301,8,53,3,14.00000,10600.00000,600.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-01-30,8517.73503,5726.55645,2791.17859,13900.00000,3244,12,63,6,16.00000,12600.00000,1200.00000,300,0,,100,0,0,1000.00000,,16,3,120,360
2022-01-31,8364.22542,5573.27029,2790.95514,11900.00000,3193,12,53,7,15.00000,10600.00000,1400.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-01,8197.49507,5405.23648,2792.25859,11300.00000,3142,10,50,8,13.00000,10000.00000,1600.00000,300,0,,100,0,0,1000.00000,,13,3,120,360
2022-02-02,8004.88185,5203.01494,2801.86691,13700.00000,3085,7,62,2,14.00000,12400.00000,400.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-02-03,7822.91970,5017.55209,2805.36761,12500.00000,3039,17,56,4,17.00000,11200.00000,800.00000,300,0,,100,0,0,1000.00000,,17,3,120,360
2022-02-04,7827.68662,5019.33969,2808.34694,1300.00000,3039,12,0,6,14.00000,0.00000,1200.00000,300,24,,100,0,0,1000.00000,,14,3,120,360
2022-02-05,7812.71552,5012.18931,2800.52621,1700.00000,3039,10,2,6,14.00000,400.00000,1200.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-02-06,7818.71141,5016.43485,2802.27657,1500.00000,3044,14,1,4,15.00000,200.00000,800.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-07,7834.61355,5034.31078,2800.30276,1700.00000,3046,10,2,5,16.00000,400.00000,1000.00000,300,0,,100,0,0,1000.00000,,16,3,120,360
2022-02-08,7840.05081,5051.73982,2788.31099,1700.00000,3050,17,2,5,13.00000,400.00000,1000.00000,300,0,,100,0,0,1000.00000,,13,3,120,360
2022-02-09,7830.21905,5043.02530,2787.19374,1500.00000,3048,10,1,9,16.00000,200.00000,1800.00000,300,0,,100,0,0,1000.00000,,16,3,120,360
2022-02-10,7839.64115,5054.42121,2785.21994,1300.00000,3051,7,0,2,15.00000,0.00000,400.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-11,7851.44672,5055.53846,2795.90826,1700.00000,3052,9,2,5,14.00000,400.00000,1000.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-02-12,7840.98185,5047.94119,2793.04066,1700.00000,3046,8,2,8,17.00000,400.00000,1600.00000,300,24,,100,0,0,1000.00000,,17,3,120,360
2022-02-13,7851.63293,5055.53846,2796.09447,1500.00000,3044,9,1,7,15.00000,200.00000,1400.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-14,7854.53777,5058.44330,2796.09447,1500.00000,3045,8,1,2,15.00000,200.00000,400.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-15,7870.84956,5066.04057,2804.80899,1500.00000,3049,8,1,3,14.00000,200.00000,600.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-02-16,7877.06890,5069.16886,2807.90004,1300.00000,3057,10,0,2,15.00000,0.00000,400.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-17,7898.29657,5083.02271,2815.27386,1500.00000,3058,10,1,2,16.00000,200.00000,400.00000,300,0,,100,0,0,1000.00000,,16,3,120,360
2022-02-18,7899.63727,5072.52060,2827.11667,2300.00000,3064,18,5,4,16.00000,1000.00000,800.00000,300,0,,100,0,0,1000.00000,,16,3,120,360
2022-02-19,7899.22761,5064.92333,2834.30429,1500.00000,3062,7,1,7,15.00000,200.00000,1400.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-20,7933.48982,5086.82135,2846.66848,1300.00000,3068,14,0,2,13.00000,0.00000,400.00000,300,24,,100,0,0,1000.00000,,13,3,120,360
2022-02-21,7902.20693,5056.87915,2845.32778,1900.00000,3056,3,3,8,17.00000,600.00000,1600.00000,300,0,,100,0,0,1000.00000,,17,3,120,360
2022-02-22,7918.77942,5066.48747,2852.29195,1300.00000,3058,12,0,9,15.00000,0.00000,1800.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-23,7921.27460,5071.85025,2849.42435,1500.00000,3058,11,1,7,16.00000,200.00000,1400.00000,300,0,,100,0,0,1000.00000,,16,3,120,360
2022-02-24,7915.72561,5059.11365,2856.61197,2100.00000,3052,7,4,6,15.00000,800.00000,1200.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-25,7902.35590,5046.82394,2855.53196,1700.00000,3049,9,2,9,13.00000,400.00000,1800.00000,300,0,,100,0,0,1000.00000,,13,3,120,360
2022-02-26,7856.36260,5030.95905,2825.40356,1700.00000,3040,7,2,7,15.00000,400.00000,1400.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-27,7832.11836,5018.66934,2813.44903,2300.00000,3037,12,5,4,15.00000,1000.00000,800.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-02-28,7833.79423,5014.20035,2819.59388,1900.00000,3038,8,3,3,16.00000,600.00000,600.00000,300,24,,100,0,0,1000.00000,,16,3,120,360
2022-03-01,7828.91559,5011.74241,2817.17318,1500.00000,3034,9,1,8,14.00000,200.00000,1600.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-03-02,7802.99548,4994.31337,2808.68211,1300.00000,3031,6,0,8,14.00000,0.00000,1600.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-03-03,7798.45202,4977.10778,2821.34423,1900.00000,3032,12,3,7,17.00000,600.00000,1400.00000,300,0,,100,0,0,1000.00000,,17,3,120,360
2022-03-04,7818.33900,4989.62094,2828.71806,1300.00000,3035,11,0,6,14.00000,0.00000,1200.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-03-05,7810.07138,4980.90642,2829.16495,1700.00000,3035,8,2,5,14.00000,400.00000,1000.00000,300,0,,100,0,0,1000.00000,,14,3,120,360
2022-03-06,7805.19273,4986.26920,2818.92353,1700.00000,3036,11,2,5,12.00000,400.00000,1000.00000,300,0,,100,0,0,1000.00000,,12,3,120,360
2022-03-07,7826.01075,5008.61412,2817.39663,1300.00000,3041,11,0,3,15.00000,0.00000,600.00000,300,0,,100,0,0,1000.00000,,15,3,120,360
2022-03-08,7831.85767,5008.61412,2823.24355,1500.00000,3038,9,1,9,13.00000,200.00000,1800.00000,300,24,,100,0,0,1000.00000,,13,3,120,360
2022-03-09,7825.56385,5000.56995,2824.99390,1700.00000,3036,6,2,5,13.00000,400.00000,1000.00000,300,0,,100,0,0,1000.00000,,13,3,120,360
