Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,10058.34288,6850.05909,3208.28378,0.00000,3745,3757,0,9,0,0,1800.00000
2022-01-02,10073.98432,6857.20947,3216.77486,0.00000,3749,12,0,6,0,0,1200.00000
2022-01-03,10080.31538,6867.71158,3212.60380,0.00000,3748,12,0,9,0,0,1800.00000
2022-01-04,10075.17605,6871.06332,3204.11273,0.00000,3746,10,0,7,0,0,1400.00000
2022-01-05,10068.95671,6875.30885,3193.64786,0.00000,3747,9,0,6,0,0,1200.00000
2022-01-06,10082.81057,6890.95030,3191.86027,0.00000,3747,11,0,6,0,0,1200.00000
2022-01-07,10089.02990,6893.85514,3195.17476,0.00000,3749,8,0,6,0,0,1200.00000
2022-01-08,10061.13599,6884.69372,3176.44227,0.00000,3744,9,0,9,0,0,1800.00000
2022-01-09,10061.91806,6882.01233,3179.90573,0.00000,3746,11,0,6,0,0,1200.00000
2022-01-10,10070.18569,6880.89508,3189.29060,0.00000,3752,11,0,4,0,0,800.00000
2022-01-11,10080.98573,6886.70476,3194.28097,0.00000,3750,8,0,7,0,0,1400.00000
2022-01-12,10083.25746,6890.72685,3192.53062,0.00000,3750,7,0,5,0,0,1000.00000
2022-01-13,10064.48773,6880.89508,3183.59265,0.00000,3745,7,0,8,0,0,1600.00000
2022-01-14,10073.16501,6886.70476,3186.46025,0.00000,3749,11,0,6,0,0,1200.00000
2022-01-15,10068.06292,6883.57647,3184.48644,0.00000,3748,9,0,8,0,0,1600.00000
2022-01-16,10048.39939,6873.07436,3175.32503,0.00000,3747,7,0,5,0,0,1000.00000
2022-01-17,10041.02556,6865.47709,3175.54848,0.00000,3746,12,0,9,0,0,1800.00000
2022-01-18,10044.15385,6869.27572,3174.87813,0.00000,3744,10,0,8,0,0,1600.00000
2022-01-19,10018.68064,6853.63428,3165.04636,0.00000,3741,10,0,7,0,0,1400.00000
2022-01-20,9997.30400,6853.41083,3143.89317,0.00000,3736,8,0,9,0,0,1800.00000
2022-01-21,9982.85428,6843.80251,3139.05177,0.00000,3725,8,0,12,0,0,2400.00000
2022-01-22,9977.56599,6834.19420,3143.37179,0.00000,3717,5,0,7,0,0,1400.00000
2022-01-23,9982.29566,6840.45078,3141.84489,0.00000,3718,6,0,4,0,0,800.00000
2022-01-24,9987.28603,6843.35562,3143.93041,0.00000,3725,15,0,6,0,0,1200.00000
2022-01-25,9977.49150,6835.53489,3141.95661,0.00000,3725,12,0,8,0,0,1600.00000
2022-01-26,9953.80589,6803.80510,3150.00078,0.00000,3721,5,0,7,0,0,1400.00000
2022-01-27,9975.07080,6808.72099,3166.34982,0.00000,3729,12,0,2,0,0,400.00000
2022-01-28,9950.45415,6791.06850,3159.38565,0.00000,3724,6,0,10,0,0,2000.00000
2022-01-29,9947.47483,6791.73885,3155.73598,0.00000,3730,13,0,4,0,0,800.00000
2022-01-30,9955.59348,6783.69468,3171.89880,0.00000,3735,15,0,7,0,0,1400.00000
2022-01-31,9961.70109,6809.39133,3152.30976,0.00000,3739,13,0,5,0,0,1000.00000
2022-02-01,9980.95497,6838.43973,3142.51523,0.00000,3743,14,0,7,0,0,1400.00000
2022-02-02,9976.07632,6843.57906,3132.49726,0.00000,3741,10,0,9,0,0,1800.00000
2022-02-03,9962.22247,6847.60115,3114.62132,0.00000,3741,10,0,5,0,0,1000.00000
2022-02-04,9969.00043,6846.26046,3122.73998,0.00000,3748,15,0,6,0,0,1200.00000
2022-02-05,9954.69968,6833.97075,3120.72893,0.00000,3740,8,0,8,0,0,1600.00000
2022-02-06,9958.64729,6850.05909,3108.58819,0.00000,3746,15,0,6,0,0,1200.00000
2022-02-07,9938.79755,6840.45078,3098.34677,0.00000,3740,8,0,12,0,0,2400.00000
2022-02-08,9901.92843,6821.23414,3080.69428,0.00000,3731,10,0,13,0,0,2600.00000
2022-02-09,9918.31470,6830.17211,3088.14259,0.00000,3731,14,0,10,0,0,2000.00000
