Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft Deployment Cost ($),aircraft Sites flagged for Follow-Up,aircraft Leaks tagged for repair,aircraft Sites Visited,aircraft Travel Time (Minutes),aircraft Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,17700.41769,12498.40831,5202.00938,250.00000,6625,6660,0,28,0.00000,0.00000,5600.00000,250.00000,0,,160,318,159,0.00000,,0,0,0,0
2022-01-02,17696.76802,12515.61390,5181.15412,250.00000,6630,16,0,7,0.00000,0.00000,1400.00000,250.00000,0,,21,42,21,0.00000,,0,0,0,0
2022-01-03,17715.94741,12539.74642,5176.20099,1000.00000,6643,27,0,10,55.00000,0.00000,2000.00000,0.00000,159,,0,0,0,1000.00000,,55,3,120,360
2022-01-04,17733.41369,12542.42781,5190.98588,1000.00000,6642,16,0,14,56.00000,0.00000,2800.00000,0.00000,21,,0,0,0,1000.00000,,56,3,120,360
2022-01-05,17715.27706,12531.70225,5183.57482,1000.00000,6641,21,0,15,54.00000,0.00000,3000.00000,0.00000,0,,0,0,0,1000.00000,,54,3,120,360
2022-01-06,17724.36400,12553.15337,5171.21063,1000.00000,6647,21,0,11,53.00000,0.00000,2200.00000,0.00000,0,,0,0,0,1000.00000,,53,3,120,360
2022-01-07,17736.28129,12578.17968,5158.10161,1000.00000,6649,19,0,8,53.00000,0.00000,1600.00000,0.00000,0,,0,0,0,1000.00000,,53,3,120,360
2022-01-08,17754.71585,12590.02249,5164.69336,1000.00000,6654,21,0,14,56.00000,0.00000,2800.00000,0.00000,0,,0,0,0,1000.00000,,56,3,120,360
2022-01-09,17771.69799,12606.78118,5164.91681,1000.00000,6657,17,0,12,61.00000,0.00000,2400.00000,0.00000,0,,0,0,0,1000.00000,,61,3,120,360
2022-01-10,17780.85941,12607.45153,5173.40788,1000.00000,6658,17,0,11,52.00000,0.00000,2200.00000,0.00000,0,,0,0,0,1000.00000,,52,3,120,360
2022-01-11,17795.19740,12605.66394,5189.53346,1000.00000,6660,19,0,10,52.00000,0.00000,2000.00000,0.00000,0,,0,0,0,1000.00000,,52,3,120,360
2022-01-12,17806.63055,12637.17028,5169.46028,1000.00000,6661,17,0,9,55.00000,0.00000,1800.00000,0.00000,0,,0,0,0,1000.00000,,55,3,120,360
2022-01-13,17825.73546,12640.52201,5185.21344,1000.00000,6662,21,0,17,60.00000,0.00000,3400.00000,0.00000,0,,0,0,0,1000.00000,,60,3,120,360
2022-01-14,17828.34237,12647.89584,5180.44653,1000.00000,6663,20,0,11,54.00000,0.00000,2200.00000,0.00000,0,,0,0,0,1000.00000,,54,3,120,360
2022-01-15,17844.35623,12655.94001,5188.41622,1000.00000,6667,19,0,7,51.00000,0.00000,1400.00000,0.00000,0,,0,0,0,1000.00000,,51,3,120,360
2022-01-16,17844.57968,12674.26284,5170.31683,1000.00000,6671,19,0,9,57.00000,0.00000,1800.00000,0.00000,0,,0,0,0,1000.00000,,57,3,120,360
2022-01-17,17855.41696,12699.95950,5155.45746,1000.00000,6675,19,0,6,54.00000,0.00000,1200.00000,0.00000,0,,0,0,0,1000.00000,,54,3,120,360
2022-01-18,17727.64125,12574.60450,5153.03676,9200.00000,6632,17,41,11,57.00000,8200.00000,2200.00000,0.00000,0,,0,0,0,1000.00000,,57,3,120,360
2022-01-19,17552.08465,12428.91561,5123.16905,10000.00000,6581,13,45,12,65.00000,9000.00000,2400.00000,0.00000,0,,0,0,0,1000.00000,,65,3,120,360
2022-01-20,17407.81095,12296.63367,5111.17727,9800.00000,6538,19,44,11,59.00000,8800.00000,2200.00000,0.00000,0,,0,0,0,1000.00000,,59,3,120,360
2022-01-21,17252.32753,12151.61513,5100.71240,9600.00000,6496,16,43,10,64.00000,8600.00000,2000.00000,0.00000,0,,0,0,0,1000.00000,,64,3,120,360
