Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,787413.40733,194588.44733,592824.96000,400.00000,6488,6529,0,31,0.00000,0.00000,6200.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,787905.95642,196169.63642,591736.32000,400.00000,6485,20,0,18,0.00000,0.00000,3600.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-03,788468.31656,196611.03656,591857.28000,1400.00000,6481,21,0,21,71.00000,0.00000,4200.00000,400.00000,9,,10,180,270,1000.00000,,71,3,120,360
2022-01-04,787923.40136,197016.52136,590906.88000,1400.00000,6483,21,0,11,69.00000,0.00000,2200.00000,400.00000,9,,10,180,270,1000.00000,,69,3,120,360
2022-01-05,789127.94463,197028.74463,592099.20000,1400.00000,6479,19,0,21,67.00000,0.00000,4200.00000,400.00000,9,,10,180,270,1000.00000,,67,3,120,360
2022-01-06,789095.69547,197549.45547,591546.24000,1400.00000,6479,11,0,5,72.00000,0.00000,1000.00000,400.00000,9,,10,180,270,1000.00000,,72,3,120,360
2022-01-07,788622.48869,197646.48869,590976.00000,1400.00000,6481,14,0,9,80.00000,0.00000,1800.00000,400.00000,9,,10,180,270,1000.00000,,80,3,120,360
2022-01-08,788533.33125,197246.29125,591287.04000,1400.00000,6486,19,0,10,95.00000,0.00000,2000.00000,400.00000,9,,10,180,270,1000.00000,,95,3,120,360
2022-01-09,787778.22498,197268.78498,590509.44000,1400.00000,6490,19,0,11,64.00000,0.00000,2200.00000,400.00000,9,,10,180,270,1000.00000,,64,3,120,360
2022-01-10,788939.65944,197186.05944,591753.60000,1400.00000,6492,20,0,9,82.00000,0.00000,1800.00000,400.00000,9,,10,180,270,1000.00000,,82,3,120,360
