Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,839024.87927,174643.43927,664381.44000,0.00000,6450,6491,0,25,0,0,5000.00000
2022-01-02,838691.81177,175087.97177,663603.84000,0.00000,6457,21,0,9,0,0,1800.00000
2022-01-03,839215.29070,174643.77070,664571.52000,0.00000,6455,18,0,19,0,0,3800.00000
2022-01-04,840070.28835,174565.64835,665504.64000,0.00000,6444,16,0,20,0,0,4000.00000
2022-01-05,839821.27311,174973.27311,664848.00000,0.00000,6443,23,0,16,0,0,3200.00000
2022-01-06,841519.97929,174943.97929,666576.00000,0.00000,6445,13,0,10,0,0,2000.00000
2022-01-07,844457.95439,174927.07439,669530.88000,0.00000,6448,18,0,11,0,0,2200.00000
2022-01-08,839529.41557,172417.73557,667111.68000,0.00000,6449,21,0,15,0,0,3000.00000
2022-01-09,841220.04238,172639.56238,668580.48000,0.00000,6452,18,0,9,0,0,1800.00000
2022-01-10,839826.03128,172800.75128,667025.28000,0.00000,6452,17,0,12,0,0,2400.00000
2022-01-11,838435.10044,173327.90044,665107.20000,0.00000,6456,20,0,8,0,0,1600.00000
2022-01-12,839335.14559,174331.62559,665003.52000,0.00000,6455,17,0,12,0,0,2400.00000
2022-01-13,839274.76984,174444.04984,664830.72000,0.00000,6460,20,0,9,0,0,1800.00000
2022-01-14,837426.58510,174323.86510,663102.72000,0.00000,6455,13,0,11,0,0,2200.00000
2022-01-15,839339.87358,175252.19358,664087.68000,0.00000,6463,24,0,14,0,0,2800.00000
2022-01-16,840066.23902,175408.31902,664657.92000,0.00000,6464,13,0,11,0,0,2200.00000
2022-01-17,839351.59995,176058.79995,663292.80000,0.00000,6462,14,0,8,0,0,1600.00000
2022-01-18,835460.17632,175346.89632,660113.28000,0.00000,6453,13,0,12,0,0,2400.00000
2022-01-19,835107.94246,174735.46246,660372.48000,0.00000,6450,16,0,15,0,0,3000.00000
2022-01-20,835872.90971,175016.58971,660856.32000,0.00000,6460,26,0,10,0,0,2000.00000
2022-01-21,836620.24425,175124.56425,661495.68000,0.00000,6466,19,0,8,0,0,1600.00000
