Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,951426.82383,245072.26383,706354.56000,400.00000,6590,6624,0,25,0.00000,0.00000,5000.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,952485.26669,245715.98669,706769.28000,400.00000,6586,21,0,18,0.00000,0.00000,3600.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-03,951048.91316,245230.03316,705818.88000,1400.00000,6586,18,0,10,68.00000,0.00000,2000.00000,400.00000,9,,10,180,270,1000.00000,,68,3,120,360
2022-01-04,901250.12108,196398.92108,704851.20000,1400.00000,6588,19,0,12,65.00000,0.00000,2400.00000,400.00000,9,,10,180,270,1000.00000,,65,3,120,360
2022-01-05,899374.20555,196475.64555,702898.56000,1400.00000,6588,25,0,15,74.00000,0.00000,3000.00000,400.00000,9,,10,180,270,1000.00000,,74,3,120,360
2022-01-06,899627.32587,196244.92587,703382.40000,1400.00000,6589,19,0,13,72.00000,0.00000,2600.00000,400.00000,9,,10,180,270,1000.00000,,72,3,120,360
2022-01-07,901371.03189,197107.35189,704263.68000,1400.00000,6593,15,0,8,87.00000,0.00000,1600.00000,400.00000,9,,10,180,270,1000.00000,,87,3,120,360
2022-01-08,902639.21666,197217.77666,705421.44000,1400.00000,6596,17,0,13,86.00000,0.00000,2600.00000,400.00000,9,,10,180,270,1000.00000,,86,3,120,360
2022-01-09,901956.92161,196673.72161,705283.20000,1400.00000,6590,18,0,20,69.00000,0.00000,4000.00000,400.00000,9,,10,180,270,1000.00000,,69,3,120,360
2022-01-10,901017.59782,196840.31782,704177.28000,1400.00000,6595,17,0,8,65.00000,0.00000,1600.00000,400.00000,9,,10,180,270,1000.00000,,65,3,120,360
2022-01-11,901650.06353,196971.66353,704678.40000,1400.00000,6600,20,0,9,75.00000,0.00000,1800.00000,400.00000,9,,10,180,270,1000.00000,,75,3,120,360
2022-01-12,903193.22678,196614.02678,706579.20000,1400.00000,6605,19,0,11,59.00000,0.00000,2200.00000,400.00000,9,,10,180,270,1000.00000,,59,3,120,360
2022-01-13,902972.13708,195960.93708,707011.20000,1400.00000,6616,20,0,7,79.00000,0.00000,1400.00000,400.00000,9,,10,180,270,1000.00000,,79,3,120,360
