Site ID,Survey Level,Method,Start Date,End Date,"""Measured"" Rate (g/s)","""Estimated"" Volume Emitted (Kg Methane)",Site Type,Site Measured
ABBT0041497,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0041497,,,2022-01-01,2022-05-05,0.5991404439999999,6418.951060838399,322,True
ABBT0041497,,,2022-05-05,2022-09-03,0.5551747429999999,5804.0188332192,322,True
ABBT0041497,,,2022-09-03,2022-12-31,0.252587266,2597.0012341056,322,True
ABBT0041497,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0088850,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0088850,,,2022-01-01,2022-05-04,1.5676789889999998,16660.038151900797,311,True
ABBT0088850,,,2022-05-04,2022-09-02,0.46595022799999997,4871.2300636032,311,True
ABBT0088850,,,2022-09-02,2022-12-31,0.42327763799999996,4388.542550784,311,True
ABBT0088850,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0098754,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0098754,,,2022-01-01,2022-05-05,0.38448436999999996,4119.211746432,311,True
ABBT0098754,,,2022-05-05,2022-05-05,0.34870835899999997,0.0,311,True
ABBT0098754,,,2022-05-05,2022-12-31,0.645692363,13389.076839168001,311,True
ABBT0098754,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT0114911,,,2022-01-01,2022-01-01,0.3103461289999999,0.0,322,True
ABBT0114911,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0114911,,,2022-01-01,2022-05-02,0.37758779,3947.4537917760003,322,True
ABBT0114911,,,2022-05-02,2022-12-31,0.37931193599999996,7963.729958707199,322,True
ABBT0114911,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0153854,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0153854,,,2022-01-01,2022-05-03,1.000435233,10545.3877040064,322,True
ABBT0153854,,,2022-05-03,2022-09-01,0.323277218,3379.6693478591997,322,True
ABBT0153854,,,2022-09-01,2022-12-31,0.15732824499999998,1644.7724045279997,322,True
ABBT0153854,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0155000,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0155000,,,2022-01-01,2022-01-02,0.5547437049999998,47.92985611199999,322,True
ABBT0155000,,,2022-01-02,2022-09-01,0.5987094079999999,12518.295269990398,322,True
ABBT0155000,,,2022-09-01,2022-12-31,0.483191682,5051.479120300801,322,True
ABBT0155000,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0155561,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0155561,,,2022-01-01,2022-05-04,0.66724418,7090.937349696,322,True
ABBT0155561,,,2022-05-04,2022-05-04,0.193966331,0.0,322,True
ABBT0155561,,,2022-05-04,2022-12-31,0.439657018,9154.7142916032,322,True
ABBT0155561,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0160261,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT0160261,,,2022-01-01,2022-05-05,0.53232982,5703.168759552,322,True
ABBT0160261,,,2022-05-05,2022-09-03,0.40086374999999996,4190.7899879999995,322,True
ABBT0160261,,,2022-09-03,2022-12-31,0.16034550099999997,1648.6083030815998,322,True
ABBT0160261,,,2022-12-31,2022-12-31,0.0,0.0,322,True
ABBT0160520,,,2022-01-01,2022-01-01,0.45948468499999995,0.0,311,True
ABBT0160520,,,2022-01-01,2022-01-01,0.0,0.0,311,True
ABBT0160520,,,2022-01-01,2022-08-31,0.571123085,11941.498359648,311,True
ABBT0160520,,,2022-08-31,2022-12-31,0.47026059499999995,4956.922879776,311,True
ABBT0160520,,,2022-12-31,2022-12-31,0.0,0.0,311,True
ABBT8480001,,,2022-01-01,2022-01-01,0.0,0.0,322,True
ABBT8480001,,,2022-01-01,2022-01-02,0.45776054099999997,39.5505107424,322,True
ABBT8480001,,,2022-01-02,2022-09-01,0.4732778479999999,9895.671868262398,322,True
ABBT8480001,,,2022-09-01,2022-12-31,0.278449444,2911.0218673536,322,True
ABBT8480001,,,2022-12-31,2022-12-31,0.0,0.0,322,True
