Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0095262,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0095262,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0095262,0.031034613,2022-05-18,2022-08-31,281.546009136
ABBT0095262,0.0168104155,2022-01-17,2022-01-17,0.0
ABBT0095262,0.0168104155,2022-01-17,2022-01-17,0.0
ABBT0095262,0.051724355,2022-01-17,2022-01-17,0.0
ABBT0095262,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0095262,0.051724355,2022-09-16,2022-12-31,473.712332832
ABBT0095262,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0095262,0.0168104155,2022-09-16,2022-12-31,153.9565093152
ABBT0095262,0.0168104155,2022-09-16,2022-12-31,153.9565093152
ABBT0095262,0.095690057,2022-05-18,2022-08-31,868.100197104
ABBT0095262,0.051724355,2022-05-18,2022-08-31,469.24334856
ABBT0095262,0.031034613,2022-05-18,2022-08-31,281.546009136
ABBT0095262,0.050431246,2022-01-17,2022-01-17,0.0
ABBT0095262,0.050431246,2022-01-17,2022-01-17,0.0
ABBT0095262,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0095262,0.031034613,2022-05-18,2022-08-31,281.546009136
ABBT0095262,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0095262,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0095262,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0095262,0.051724355,2022-01-17,2022-01-17,0.0
ABBT0095262,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0095262,0.031034613,2022-05-18,2022-08-31,281.546009136
ABBT0095262,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0095262,0.051724355,2022-01-17,2022-01-17,0.0
ABBT0137449,0.0349139395,2022-09-16,2022-12-31,319.75582351680004
ABBT0137449,0.0349139395,2022-09-16,2022-12-31,319.75582351680004
ABBT0137449,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0137449,0.018103524,2022-05-18,2022-05-18,0.0
ABBT0137449,0.002586218,2022-01-17,2022-01-17,0.0
ABBT0137449,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0137449,0.095690057,2022-09-16,2022-12-31,876.3678180288
ABBT0137449,0.031034613,2022-09-16,2022-12-31,284.2273996992
ABBT0137449,0.051724355,2022-01-17,2022-01-17,0.0
ABBT0137449,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0137449,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0137449,0.069827879,2022-05-18,2022-05-18,0.0
ABBT0137449,0.0245690685,2022-09-16,2022-12-31,225.0133569504
ABBT0137449,0.0245690685,2022-09-16,2022-12-31,225.0133569504
ABBT0137449,0.018103524,2022-01-17,2022-01-17,0.0
ABBT0137449,0.031034613,2022-01-17,2022-01-17,0.0
ABBT0137449,0.002586218,2022-05-18,2022-05-18,0.0
ABBT0137449,0.031034613,2022-05-18,2022-05-18,0.0
ABBT0137449,0.005172435,2022-05-18,2022-05-18,0.0
ABBT0115084,0.031034613,2022-01-18,2022-01-18,0.0
ABBT0115084,0.0155173065,2022-01-18,2022-01-18,0.0
ABBT0115084,0.0155173065,2022-01-18,2022-01-18,0.0
ABBT0115084,0.0168104155,2022-01-18,2022-01-18,0.0
ABBT0115084,0.0168104155,2022-01-18,2022-01-18,0.0
ABBT0115084,0.018103524,2022-05-19,2022-09-01,164.23516972800002
ABBT0115084,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0115084,0.031034613,2022-05-19,2022-09-01,281.546009136
ABBT0115084,0.005172435,2022-09-17,2022-12-31,46.92433032000001
ABBT0115084,0.005172435,2022-05-19,2022-09-01,46.92433032000001
ABBT0115084,0.031034613,2022-01-18,2022-01-18,0.0
ABBT0115084,0.002586218,2022-09-17,2022-12-31,23.462169696
ABBT0115084,0.002586218,2022-01-18,2022-01-18,0.0
ABBT0115084,0.051724355,2022-01-18,2022-01-18,0.0
ABBT0115084,0.069827879,2022-05-19,2022-09-01,633.478518288
ABBT0115084,0.031034613,2022-05-19,2022-09-01,281.546009136
ABBT0115084,0.018103524,2022-05-19,2022-09-01,164.23516972800002
ABBT0115084,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0115084,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0115084,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0115084,0.018103524,2022-05-19,2022-09-01,164.23516972800002
ABBT0115084,0.095690057,2022-01-18,2022-01-18,0.0
ABBT0141061,0.041379484,2022-05-19,2022-05-19,0.0
ABBT0141061,0.041379484,2022-05-19,2022-05-19,0.0
ABBT0141061,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0141061,0.031034613,2022-01-18,2022-01-18,0.0
ABBT0141061,0.031034613,2022-01-18,2022-01-18,0.0
ABBT0141061,0.051724355,2022-09-17,2022-12-31,469.24334856
ABBT0141061,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0141061,0.031034613,2022-01-18,2022-01-18,0.0
ABBT0141061,0.069827879,2022-09-17,2022-12-31,633.478518288
ABBT0141061,0.031034613,2022-05-19,2022-05-19,0.0
ABBT0141061,0.095690057,2022-01-18,2022-01-18,0.0
ABBT0141061,0.031034613,2022-01-18,2022-01-18,0.0
ABBT0141061,0.002586218,2022-05-19,2022-05-19,0.0
ABBT0141061,0.051724355,2022-01-18,2022-01-18,0.0
ABBT0141061,0.031034613,2022-01-18,2022-01-18,0.0
ABBT0141061,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0141061,0.095690057,2022-05-19,2022-05-19,0.0
ABBT0141061,0.002586218,2022-05-19,2022-05-19,0.0
ABBT0141061,0.051724355,2022-05-19,2022-05-19,0.0
ABBT0135767,0.002586218,2022-09-17,2022-12-31,23.462169696
ABBT0135767,0.069827879,2022-09-17,2022-12-31,633.478518288
ABBT0135767,0.002586218,2022-09-17,2022-12-31,23.462169696
ABBT0135767,0.031034613,2022-05-19,2022-05-19,0.0
ABBT0135767,0.095690057,2022-09-17,2022-12-31,868.100197104
ABBT0135767,0.031034613,2022-01-18,2022-05-03,281.546009136
ABBT0135767,0.050431246,2022-05-19,2022-05-19,0.0
ABBT0135767,0.050431246,2022-05-19,2022-05-19,0.0
ABBT0135767,0.002586218,2022-01-18,2022-05-03,23.462169696
ABBT0135767,0.031034613,2022-01-18,2022-05-03,281.546009136
ABBT0135767,0.069827879,2022-09-17,2022-12-31,633.478518288
ABBT0135767,0.031034613,2022-01-18,2022-05-03,281.546009136
ABBT0135767,0.051724355,2022-01-18,2022-05-03,469.24334856
ABBT0135767,0.031034613,2022-09-17,2022-12-31,281.546009136
ABBT0135767,0.002586218,2022-09-17,2022-12-31,23.462169696
ABBT0135767,0.002586218,2022-01-18,2022-05-03,23.462169696
ABBT0135767,0.018103524,2022-01-18,2022-05-03,164.23516972800002
ABBT0135767,0.095690057,2022-05-19,2022-05-19,0.0
ABBT0135767,0.051724355,2022-05-19,2022-05-19,0.0
ABBT0135767,0.095690057,2022-01-18,2022-05-03,868.100197104
ABBT0135767,0.005172435,2022-09-17,2022-12-31,46.92433032000001
ABBT0135767,0.095690057,2022-01-18,2022-05-03,868.100197104
ABBT0092112,0.005172435,2022-01-19,2022-05-04,46.92433032000001
ABBT0092112,0.041379484,2022-01-19,2022-05-04,375.394678848
