Program Name,Simulation,Mitigated Methane (kg),Total Cost ($),Mitigation Ratio ($/tonne CO2e),Value of Mitigated Methane ($)
P_aircraft,0,205365.2452327296,78050.0,13.573377505239865,33461.47914444408
P_aircraft,1,194475.0008689632,76050.0,13.966172600258842,31687.06164627826
P_aircraft,2,214249.80932648643,82650.0,13.77730847726268,34909.09826711411
P_aircraft,3,180772.4246910336,74050.0,14.629680725160027,29454.4128527429
P_aircraft,4,180169.111883952,69850.0,13.846118410960873,29356.111220016
P_drone,0,205386.6963571488,80300.0,13.963207908413892,33464.97431399705
P_drone,1,194432.5455184224,78300.0,14.382512783404415,31680.14412318383
P_drone,2,214276.62323211844,84900.0,14.15060033804174,34913.467229072936
P_drone,3,180772.4246910336,76300.0,15.074201746518705,29454.4128527429
P_drone,4,180176.2622588736,72100.0,14.291560762317802,29357.27627655243
P_OGI,0,188566.1098931232,95112.0,18.01414445460235,30724.288067278576
P_OGI,1,178240.968629712,94312.0,18.89737101509577,29041.946448775685
P_OGI,2,195776.1455913504,98712.0,18.007447029768922,31899.065517443138
P_OGI,3,163239.0352670304,92312.0,20.196499798372756,26597.585039069603
P_OGI,4,163205.07105119043,87112.0,19.062783019573114,26592.051031118557
P_stationary,0,244355.56886085123,233950.0,34.19343861000818,39814.42313669066
P_stationary,1,223303.971487392,234150.0,37.448953300287165,36384.35109275275
P_stationary,2,249816.2206442688,236750.0,33.846309583304965,40704.16222354944
P_stationary,3,210088.5145903584,229350.0,38.98866839314282,34231.0717740284
P_stationary,4,212223.57190352643,224950.0,37.855967173527134,34578.95038258169
P_truck,0,206226.1950547392,79500.0,13.767822819657198,33601.759231665936
P_truck,1,194534.6618091456,77700.0,14.264810055919504,31696.782586661277
P_truck,2,213727.1616182304,83900.0,14.0198772525737,34823.93991731699
P_truck,3,180485.2924511904,75900.0,15.019031461787161,29407.628551707334
P_truck,4,180184.7533290336,71700.0,14.211603581342926,29358.659781179762
