Site ID,"""Measured"" Rate (g/s)",Start Date,End Date,"""Estimated"" Volume Emitted (Kg Methane)"
ABBT0118135,0.08275896799999999,2022-01-19,2022-05-02,736.4886080256
ABBT0118135,0.08275896799999999,2022-01-19,2022-05-02,736.4886080256
ABBT0118135,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0118135,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0118135,0.002586218,2022-01-19,2022-05-02,23.0152712256
ABBT0118135,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0118135,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0118135,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0118135,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0118135,0.069827879,2022-01-19,2022-05-02,621.4122607968001
ABBT0118135,0.069827879,2022-01-19,2022-05-02,621.4122607968001
ABBT0118135,0.095690057,2022-01-19,2022-05-02,851.5649552544
ABBT0118135,0.095690057,2022-01-19,2022-05-02,851.5649552544
ABBT0116633,0.002586218,2022-01-19,2022-05-02,23.0152712256
ABBT0116633,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0116633,0.069827879,2022-01-19,2022-05-02,621.4122607968001
ABBT0116633,0.018103524,2022-01-19,2022-05-02,161.1068807808
ABBT0116633,0.051724355,2022-01-19,2022-05-02,460.3053800160001
ABBT0116633,0.095690057,2022-01-19,2022-05-02,851.5649552544
ABBT0116633,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0116633,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0116633,0.069827879,2022-01-19,2022-05-02,621.4122607968001
ABBT0116633,0.0491381375,2022-01-19,2022-05-02,437.29011324000004
ABBT0116633,0.0491381375,2022-01-19,2022-05-02,437.29011324000004
ABBT0116633,0.018103524,2022-01-19,2022-05-02,161.1068807808
ABBT0116633,0.069827879,2022-01-19,2022-05-02,621.4122607968001
ABBT0116633,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0116633,0.031034613,2022-01-19,2022-05-02,276.18322800960004
ABBT0116633,0.002586218,2022-01-19,2022-05-02,23.0152712256
ABBT0116633,0.031034613,2022-01-19,2022-05-02,276.18322800960004
