Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),aircraft Deployment Cost ($),aircraft Sites flagged for Follow-Up,aircraft Leaks tagged for repair,aircraft Sites Visited,aircraft Travel Time (Minutes),aircraft Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,51566.86301,12548.62301,39018.24000,250.00000,375,379,0,2,0.00000,0.00000,400.00000,250.00000,0,,10,20,10,0.00000,,0,0,0,0
2022-01-02,51915.16851,12793.24851,39121.92000,0.00000,380,6,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-03,51826.42076,12704.50076,39121.92000,1000.00000,382,3,0,1,73.00000,0.00000,200.00000,0.00000,10,,0,0,0,1000.00000,,73,3,120,360
2022-01-04,51832.26394,12710.34394,39121.92000,1000.00000,383,1,0,0,89.00000,0.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,89,3,120,360
2022-01-05,51659.46394,12710.34394,38949.12000,1000.00000,381,0,0,0,71.00000,0.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,71,3,120,360
2022-01-06,51659.75980,12710.63980,38949.12000,500.00000,382,1,0,0,27.00000,0.00000,0.00000,0.00000,0,,0,0,0,500.00000,,27,1,30,120
2022-01-07,51659.50055,12710.38055,38949.12000,0.00000,381,0,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,51660.10318,12710.98318,38949.12000,0.00000,382,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,51367.09470,12711.73470,38655.36000,0.00000,382,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,51280.69470,12711.73470,38568.96000,0.00000,381,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,51326.37843,12757.41843,38568.96000,0.00000,382,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-12,51326.37843,12757.41843,38568.96000,0.00000,382,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-13,51338.36786,12769.40786,38568.96000,0.00000,383,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-14,51265.74124,12783.18124,38482.56000,0.00000,383,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-15,51267.66360,12785.10360,38482.56000,0.00000,385,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-16,51214.31317,12818.15317,38396.16000,0.00000,385,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-17,51215.23518,12819.07518,38396.16000,0.00000,387,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-18,49224.24341,10724.40341,38499.84000,13800.00000,319,1,69,0,0.00000,13800.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-19,46051.70032,7845.62032,38206.08000,16400.00000,236,0,82,0,0.00000,16400.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-20,43088.95124,4018.87124,39070.08000,12200.00000,176,1,61,0,0.00000,12200.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-21,39191.82216,121.74216,39070.08000,4400.00000,153,0,22,1,0.00000,4400.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-22,39278.22216,121.74216,39156.48000,0.00000,154,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-23,39345.48519,189.00519,39156.48000,0.00000,156,2,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-24,39345.61858,189.13858,39156.48000,0.00000,157,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-25,39448.74451,205.86451,39242.88000,0.00000,158,2,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-26,39448.90952,206.02952,39242.88000,0.00000,159,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-27,39448.90952,206.02952,39242.88000,0.00000,159,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-28,39470.87776,227.99776,39242.88000,0.00000,162,3,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-29,38693.27776,227.99776,38465.28000,0.00000,162,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-30,38693.27776,227.99776,38465.28000,0.00000,162,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-31,38779.67776,227.99776,38551.68000,0.00000,163,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-01,38779.67776,227.99776,38551.68000,0.00000,163,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-02,39183.36802,234.24802,38949.12000,0.00000,166,3,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-03,39183.36802,234.24802,38949.12000,0.00000,166,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-04,39183.63760,234.51760,38949.12000,0.00000,167,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-05,39183.62456,234.50456,38949.12000,0.00000,166,0,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-06,41001.61403,2052.49403,38949.12000,0.00000,167,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-07,40708.99848,2053.63848,38655.36000,0.00000,167,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-08,40795.39848,2053.63848,38741.76000,0.00000,168,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-09,40803.23423,2061.47423,38741.76000,0.00000,171,3,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-10,39862.24870,2070.88870,37791.36000,0.00000,173,4,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-11,38999.06999,2071.70999,36927.36000,0.00000,173,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-12,39119.89037,2192.53037,36927.36000,0.00000,174,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-13,39065.82334,2242.14334,36823.68000,0.00000,174,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-14,39072.44089,2248.76089,36823.68000,0.00000,175,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-02-15,39240.78282,2417.10282,36823.68000,0.00000,176,2,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
