Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($)
2022-01-01,47224.11693,8948.91693,38275.20000,0.00000,358,361,0,2,0,0,400.00000
2022-01-02,47219.50478,8961.58478,38257.92000,0.00000,359,3,0,1,0,0,200.00000
2022-01-03,47134.75295,8876.83295,38257.92000,0.00000,359,1,0,1,0,0,200.00000
2022-01-04,46979.29582,9015.13582,37964.16000,0.00000,357,1,0,2,0,0,400.00000
2022-01-05,46979.29582,9015.13582,37964.16000,0.00000,357,0,0,0,0,0,0.00000
2022-01-06,46979.29582,9015.13582,37964.16000,0.00000,357,0,0,0,0,0,0.00000
2022-01-07,46972.70816,9008.54816,37964.16000,0.00000,357,1,0,1,0,0,200.00000
2022-01-08,47013.89535,9049.73535,37964.16000,0.00000,359,3,0,1,0,0,200.00000
2022-01-09,47013.89535,9049.73535,37964.16000,0.00000,359,0,0,0,0,0,0.00000
2022-01-10,47013.89535,9049.73535,37964.16000,0.00000,359,0,0,0,0,0,0.00000
2022-01-11,47013.89535,9049.73535,37964.16000,0.00000,359,0,0,0,0,0,0.00000
2022-01-12,46815.73463,9041.65463,37774.08000,0.00000,356,0,0,1,0,0,200.00000
2022-01-13,46836.96875,9062.88875,37774.08000,0.00000,358,3,0,1,0,0,200.00000
2022-01-14,47641.78624,9003.70624,38638.08000,0.00000,356,1,0,3,0,0,600.00000
2022-01-15,47642.85665,9004.77665,38638.08000,0.00000,357,1,0,0,0,0,0.00000
2022-01-16,47567.89369,8929.81369,38638.08000,0.00000,355,0,0,2,0,0,400.00000
2022-01-17,46410.13369,8929.81369,37480.32000,0.00000,353,0,0,0,0,0,0.00000
2022-01-18,46410.13369,8929.81369,37480.32000,0.00000,353,0,0,0,0,0,0.00000
2022-01-19,46419.16487,8938.84487,37480.32000,0.00000,353,1,0,1,0,0,200.00000
2022-01-20,46314.76236,8920.84236,37393.92000,0.00000,350,0,0,2,0,0,400.00000
2022-01-21,46314.76236,8920.84236,37393.92000,0.00000,350,0,0,0,0,0,0.00000
2022-01-22,45986.49651,8678.97651,37307.52000,0.00000,348,1,0,2,0,0,400.00000
2022-01-23,45992.77750,8685.25750,37307.52000,0.00000,348,1,0,1,0,0,200.00000
2022-01-24,46189.41613,8881.89613,37307.52000,0.00000,349,2,0,1,0,0,200.00000
2022-01-25,46085.73613,8881.89613,37203.84000,0.00000,348,0,0,0,0,0,0.00000
2022-01-26,45783.33593,8890.53593,36892.80000,0.00000,348,2,0,0,0,0,0.00000
2022-01-27,45489.45557,8890.41557,36599.04000,0.00000,346,0,0,1,0,0,200.00000
2022-01-28,45489.45557,8890.41557,36599.04000,0.00000,346,0,0,0,0,0,0.00000
2022-01-29,45489.25985,8890.21985,36599.04000,0.00000,346,1,0,1,0,0,200.00000
2022-01-30,45473.71781,8961.07781,36512.64000,0.00000,347,2,0,0,0,0,0.00000
2022-01-31,45471.31370,8958.67370,36512.64000,0.00000,346,0,0,1,0,0,200.00000
2022-02-01,45509.07049,8996.43049,36512.64000,0.00000,346,1,0,1,0,0,200.00000
2022-02-02,45510.72614,8998.08614,36512.64000,0.00000,348,2,0,0,0,0,0.00000
2022-02-03,45429.12271,9002.88271,36426.24000,0.00000,348,1,0,0,0,0,0.00000
2022-02-04,44556.47016,8994.23016,35562.24000,0.00000,347,1,0,1,0,0,200.00000
2022-02-05,44555.98628,8993.74628,35562.24000,0.00000,346,1,0,2,0,0,400.00000
2022-02-06,44554.66564,8992.42564,35562.24000,0.00000,345,0,0,1,0,0,200.00000
2022-02-07,44547.24701,8985.00701,35562.24000,0.00000,345,3,0,3,0,0,600.00000
2022-02-08,44548.98475,8986.74475,35562.24000,0.00000,346,1,0,0,0,0,0.00000
2022-02-09,44680.93797,9118.69797,35562.24000,0.00000,348,2,0,0,0,0,0.00000
2022-02-10,44154.66961,8592.42961,35562.24000,0.00000,347,0,0,1,0,0,200.00000
2022-02-11,44163.89319,8601.65319,35562.24000,0.00000,348,2,0,1,0,0,200.00000
2022-02-12,44053.96357,8595.40357,35458.56000,0.00000,348,2,0,1,0,0,200.00000
2022-02-13,44053.96357,8595.40357,35458.56000,0.00000,348,0,0,0,0,0,0.00000
2022-02-14,43865.79144,8407.23144,35458.56000,0.00000,345,1,0,4,0,0,800.00000
2022-02-15,43784.56406,8326.00406,35458.56000,0.00000,343,1,0,3,0,0,600.00000
2022-02-16,43785.23272,8326.67272,35458.56000,0.00000,344,1,0,0,0,0,0.00000
2022-02-17,43695.83598,8340.95598,35354.88000,0.00000,345,2,0,0,0,0,0.00000
2022-02-18,43695.83598,8340.95598,35354.88000,0.00000,345,0,0,0,0,0,0.00000
2022-02-19,43680.93890,8326.05890,35354.88000,0.00000,344,0,0,1,0,0,200.00000
2022-02-20,44544.93890,8326.05890,36218.88000,0.00000,345,1,0,0,0,0,0.00000
2022-02-21,44147.77732,8326.33732,35821.44000,0.00000,344,2,0,1,0,0,200.00000
2022-02-22,43959.95094,8432.27094,35527.68000,0.00000,344,1,0,0,0,0,0.00000
2022-02-23,43959.95094,8432.27094,35527.68000,0.00000,344,0,0,0,0,0,0.00000
