Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),OGI Deployment Cost ($),OGI Sites flagged for Follow-Up,OGI Leaks tagged for repair,OGI Sites Visited,OGI Travel Time (Minutes),OGI Survey Time (Minutes)
2022-01-01,950.55295,719.95337,230.59959,2876.00000,349,351,0,2,26,0.00000,400.00000,2876.00000,,26,3,180,300
2022-01-02,947.87156,717.27198,230.59959,2876.00000,348,0,0,1,29,0.00000,200.00000,2876.00000,,29,3,180,360
2022-01-03,967.94475,735.37136,232.57339,2876.00000,352,5,0,1,21,0.00000,200.00000,2876.00000,,21,3,180,300
2022-01-04,967.94475,735.37136,232.57339,2876.00000,352,0,0,0,39,0.00000,0.00000,2876.00000,,39,3,180,360
2022-01-05,967.72130,735.37136,232.34994,0.00000,351,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-06,967.72130,735.37136,232.34994,0.00000,351,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-07,970.40269,738.05275,232.34994,0.00000,352,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-08,966.45509,738.05275,228.40234,0.00000,350,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-09,963.77370,735.37136,228.40234,0.00000,349,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-10,963.55025,735.59481,227.95544,0.00000,349,1,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-11,963.55025,735.59481,227.95544,0.00000,349,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-12,961.09231,733.13687,227.95544,0.00000,348,1,0,2,0,0.00000,400.00000,0.00000,,0,0,0,0
2022-01-13,960.38472,730.45548,229.92924,0.00000,348,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-14,960.38472,730.45548,229.92924,0.00000,348,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-15,962.84266,732.91342,229.92924,0.00000,349,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-16,879.94300,650.01376,229.92924,4200.00000,327,0,21,1,0,4200.00000,200.00000,0.00000,,0,0,0,0
2022-01-17,794.80885,564.87961,229.92924,5600.00000,300,1,28,0,0,5600.00000,0.00000,0.00000,,0,0,0,0
2022-01-18,735.81826,497.62140,238.19686,3000.00000,285,1,15,1,0,3000.00000,200.00000,0.00000,,0,0,0,0
2022-01-19,595.04525,356.84839,238.19686,6800.00000,251,0,34,0,0,6800.00000,0.00000,0.00000,,0,0,0,0
2022-01-20,595.04525,356.84839,238.19686,0.00000,251,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-21,592.36386,354.16700,238.19686,0.00000,250,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-22,592.36386,354.16700,238.19686,0.00000,250,0,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-23,592.36386,354.16700,238.19686,0.00000,250,1,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-24,587.89488,350.14492,237.74996,0.00000,250,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-25,590.79972,353.04976,237.74996,0.00000,252,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-26,591.47007,353.27321,238.19686,0.00000,254,2,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-27,591.24662,353.04976,238.19686,0.00000,253,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-28,582.08520,352.82631,229.25889,0.00000,253,2,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
2022-01-29,587.22453,357.96564,229.25889,0.00000,256,3,0,0,0,0.00000,0.00000,0.00000,,0,0,0,0
2022-01-30,581.19140,351.93251,229.25889,0.00000,255,0,0,1,0,0.00000,200.00000,0.00000,,0,0,0,0
