Program Name,Simulation,"Total ""True"" Mitigated Emissions (Kg Methane)","Total ""True"" Emissions (Kg Methane)","Total ""Estimated"" Emissions (Kg Methane)","Total ""True"" Mitigable Emissions (Kg Methane)","Total ""True"" Non-Mitigable Emissions (Kg Methane)","Average ""True"" Emissions Rate (g/s)","95th Percentile ""True"" Emissions Rate (g/s)","5th Percentile ""True"" Emissions Rate (g/s)","Average ""True"" Emissions Amount (Kg Methane)","95th Percentile ""True"" Emissions Amount (Kg Methane)","5th Percentile ""True"" Emissions Amount (Kg Methane)","Year 2022 ""True"" Mitigated Emissions (Kg Methane)","Year 2022 ""True"" Emissions (Kg Methane)","Year 2022 ""Estimated"" Emissions (Kg Methane)"
P_aircraft,0,9893.43737712,354655.1649579264,0.0,274884.31787564163,79770.8470822848,0.03015042138947368,0.095690057,0.002586218,466.6515328393768,1908.6696624772796,12.51315627264,8590.092456291548,293682.7269958026,6802.7995638431985
P_aircraft,1,5454.3953057472,330835.6279001376,0.0,244661.02412045762,86174.60377968001,0.03194576704233576,0.095690057,0.002586218,482.9717195622447,1815.5695550860792,12.245017536,4677.197348991883,270683.4460457905,8676.2350196064
P_aircraft,2,19864.635064502403,378382.26844019524,0.0,259940.2576594176,118442.01078077761,0.03166320752213541,0.095690057,0.002586218,492.68524536483756,1989.4242038615978,11.842809465600002,19859.3183817811,319427.6125137423,11910.811335465594
P_aircraft,3,17849.123190662398,355283.50419858244,0.0,242362.1785457952,112921.3256527872,0.030854179151846774,0.095690057,0.002586218,486.02394555209634,2033.2314232905599,11.3959109952,14178.182779900457,194045.964950722,20260.736058383995
P_aircraft,4,0.0,333009.26719378564,0.0,259002.21808152003,74007.0491122656,0.02855966661668839,0.095690057,0.002586218,434.17114366856015,1510.6954378982377,10.881977754240001,0.0,275744.46827241493,0.0
P_drone,0,9893.43737712,354655.1649579264,0.0,274884.31787564163,79770.8470822848,0.03015042138947368,0.095690057,0.002586218,466.6515328393768,1908.6696624772796,12.51315627264,8590.092456291548,293682.7269958026,6802.7995638431985
P_drone,1,5454.3953057472,330835.6279001376,0.0,244661.02412045762,86174.60377968001,0.03194576704233576,0.095690057,0.002586218,482.9717195622447,1815.5695550860792,12.245017536,4677.197348991883,270683.4460457905,8676.2350196064
P_drone,2,19864.635064502403,378382.26844019524,0.0,259940.2576594176,118442.01078077761,0.03166320752213541,0.095690057,0.002586218,492.68524536483756,1989.4242038615978,11.842809465600002,19859.3183817811,319427.6125137423,11910.811335465594
P_drone,3,17849.123190662398,355283.50419858244,0.0,242362.1785457952,112921.3256527872,0.030854179151846774,0.095690057,0.002586218,486.02394555209634,2033.2314232905599,11.3959109952,14178.182779900457,194045.964950722,20260.736058383995
P_drone,4,0.0,333009.26719378564,0.0,259002.21808152003,74007.0491122656,0.02855966661668839,0.095690057,0.002586218,434.17114366856015,1510.6954378982377,10.881977754240001,0.0,275744.46827241493,0.0
