Date,Daily Emissions (Kg Methane),Daily Mitigable Emissions (Kg Methane),Daily Non-Mitigable Emissions (Kg Methane),Daily Cost ($),Active Leaks,New Leaks,Leaks Repaired,Leaks Naturally Repaired,Leaks Tagged,Daily Repair Cost ($),Daily Natural Repair Cost ($),truck Deployment Cost ($),truck Sites flagged for Follow-Up,truck Leaks tagged for repair,truck Sites Visited,truck Travel Time (Minutes),truck Survey Time (Minutes),OGI_FU Deployment Cost ($),OGI_FU Sites flagged for Follow-Up,OGI_FU Leaks tagged for repair,OGI_FU Sites Visited,OGI_FU Travel Time (Minutes),OGI_FU Survey Time (Minutes)
2022-01-01,920.64800,691.79877,228.84923,400.00000,366,366,0,0,0.00000,0.00000,0.00000,400.00000,0,,10,180,270,0.00000,,0,0,0,0
2022-01-02,920.87145,692.02221,228.84923,400.00000,367,1,0,0,0.00000,0.00000,0.00000,400.00000,0,,1,20,30,0.00000,,0,0,0,0
2022-01-03,923.55284,694.70361,228.84923,1000.00000,368,2,0,1,43.00000,0.00000,200.00000,0.00000,9,,0,0,0,1000.00000,,43,3,120,360
2022-01-04,920.87145,692.02221,228.84923,1000.00000,367,0,0,1,30.00000,0.00000,200.00000,0.00000,1,,0,0,0,1000.00000,,30,3,120,360
2022-01-05,925.78733,697.38500,228.40234,1000.00000,368,2,0,0,42.00000,0.00000,0.00000,0.00000,0,,0,0,0,1000.00000,,42,3,120,360
2022-01-06,928.46872,700.06639,228.40234,500.00000,369,1,0,0,15.00000,0.00000,0.00000,0.00000,0,,0,0,0,500.00000,,15,1,30,120
2022-01-07,928.91562,700.51328,228.40234,0.00000,370,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-08,935.61910,707.21676,228.40234,0.00000,371,3,0,2,0.00000,0.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-09,931.89494,707.44021,224.45473,0.00000,370,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-10,934.57633,710.12160,224.45473,0.00000,371,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-11,936.55014,710.12160,226.42853,0.00000,372,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-12,933.86875,707.44021,226.42853,0.00000,371,0,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-13,934.09219,707.66366,226.42853,0.00000,372,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-14,934.09219,707.66366,226.42853,0.00000,372,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-15,934.31564,707.66366,226.65198,0.00000,373,1,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-16,934.31564,707.66366,226.65198,0.00000,373,0,0,0,0.00000,0.00000,0.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-17,935.84255,707.21676,228.62579,0.00000,373,1,0,1,0.00000,0.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-18,834.43385,607.11151,227.32233,7600.00000,334,1,38,1,0.00000,7600.00000,200.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
2022-01-19,761.81285,534.49052,227.32233,5000.00000,307,0,25,2,0.00000,5000.00000,400.00000,0.00000,0,,0,0,0,0.00000,,0,0,0,0
